nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-14001;Zaki Hakim;P;25/12/1965;RETAIL
N-14002;Budi Lestari;Wanita;08/01/1995;RETAIL
N-14003;Budi Hakim;Female;04/10/1984;RETAIL
N-14004;Zaki Kusuma;P;11/04/2003;Prioritas
N-14005;Hadi Hidayat;M;16/07/1968;RETAIL
N-14006;Maya Setiawan;Wanita;27/06/1999;Private
N-14007;Joko Hakim;Female;04/03/1998;Reguler
N-14008;Wawan Saputra;Laki-laki;13/09/2002;
N-14009;Sari Kusuma;Female;25/03/1976;Reguler
N-14010;Nanda Saputra;L;10/10/1974;prio
N-14011;Maya Hidayat;Laki-laki;31/02/1999;Prioritas
N-14012;Lutfi Saputra;Wanita;22/07/2003;Prioritas
N-14013;Rizal Santoso;P;;Prioritas
N-14014;Gita Santoso;L;13/02/1972;Private
N-14015;Tono Permata;P;01/05/2005;Private
N-14016;Sari Setiawan;Wanita;;Prioritas
N-14017;Oki Hakim;L;26/03/1966;
N-14018;Umi Hakim;;01/04/2005;
N-14019;Oki Santoso;L;31/02/1999;Prioritas
N-14020;Sari Kusuma;;01/03/1961;Private
N-14021;Wawan Lestari;Pria;25/02/1988;Private
N-14022;Indah Saputra;Pria;03/02/1992;Prioritas
N-14023;Hadi Setiawan;;23/03/1997;prio
N-14024;Umi Permata;L;12/03/1985;Private
N-14025;Putri Hakim;Laki-laki;13/03/1998;RETAIL
N-14026;Rizal Pratama;Laki-laki;21/11/1973;RETAIL
N-14027;Yuni Maharani;P;23/04/1968;RETAIL
N-14028;Zaki Hidayat;L;10/05/1968;Private
N-14029;Budi Santoso;Female;31/02/1999;
N-14030;Indah Santoso;L;23/10/1983;Prioritas
N-14031;Vina Kusuma;;04/01/1966;
N-14032;Joko Hidayat;Pria;17/08/1963;prio
N-14033;Nanda Kusuma;Laki-laki;07/03/1972;
N-14034;Tono Lestari;Female;07/05/1967;RETAIL
N-14035;Budi Maharani;P;17/01/1979;Prioritas
N-14036;Joko Hidayat;Laki-laki;22/07/1998;RETAIL
N-14037;Putri Lestari;;22/04/1961;Prioritas
N-14038;Fajar Hidayat;L;25/05/1972;Private
N-14039;Wawan Setiawan;L;26/07/1993;Private
N-14040;Tono Maharani;Wanita;15/09/1990;prio
N-14041;Oki Hidayat;P;02/11/1976;Prioritas
N-14042;Indah Hakim;Laki-laki;08/02/1964;
N-14043;Lutfi Lestari;L;15/10/1982;Reguler
N-14044;Rizal Setiawan;;17/09/1970;Prioritas
N-14045;Rizal Pratama;P;28/08/1980;Private
N-14046;Eka Santoso;Pria;22/06/1987;Reguler
