nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-27001;Yuni Lestari;L;08/07/1967;RETAIL
N-27002;Sari Setiawan;P;26/03/1967;
N-27003;Budi Permata;Wanita;;Prioritas
N-27004;Eka Kusuma;L;30/01/1993;Reguler
N-27005;Hadi Hakim;Pria;25/12/1962;
N-27006;Zaki Wijaya;Pria;25/12/1977;Reguler
N-27007;Gita Santoso;Pria;30/05/1987;RETAIL
N-27008;Fajar Pratama;Laki-laki;12/08/1997;prio
N-27009;Yuni Pratama;Pria;23/06/1970;Private
N-27010;Zaki Saputra;;30/05/1972;
N-27011;Oki Pratama;Female;16/01/1998;Prioritas
N-27012;Dewi Hidayat;Female;18/11/2000;Reguler
N-27013;Citra Saputra;P;03/03/1979;Reguler
N-27014;Sari Hakim;Laki-laki;16/12/1989;prio
N-27015;Kartika Wijaya;M;03/09/1993;
N-27016;Sari Wijaya;M;25/11/1977;
N-27017;Gita Santoso;P;04/10/1992;Reguler
N-27018;Dewi Maharani;M;17/07/1985;
N-27019;Budi Saputra;Wanita;20/01/1990;RETAIL
N-27020;Gita Setiawan;Wanita;09/03/1983;
N-27021;Gita Utami;L;12/03/1961;Private
N-27022;Oki Wijaya;M;16/02/1974;RETAIL
N-27023;Indah Wijaya;Laki-laki;24/10/1992;prio
N-27024;Maya Pratama;Laki-laki;;Reguler
N-27025;Zaki Wijaya;Pria;05/01/1967;RETAIL
N-27026;Lutfi Wijaya;Wanita;26/03/1987;Reguler
N-27027;Zaki Lestari;Laki-laki;02/02/1963;Private
N-27028;Dewi Lestari;Female;11/06/1981;prio
N-27029;Maya Lestari;;13/02/2000;Private
N-27030;Hadi Lestari;Female;06/11/1981;Reguler
N-27031;Sari Saputra;;11/07/2003;RETAIL
N-27032;Citra Permata;P;;Reguler
N-27033;Umi Hakim;Wanita;;Prioritas
N-27034;Yuni Permata;Pria;25/10/1969;prio
N-27035;Andi Hakim;Laki-laki;20/09/1985;RETAIL
N-27036;Wawan Wijaya;;09/12/1972;
N-27037;Sari Hidayat;Laki-laki;31/02/1999;Private
N-27038;Hadi Maharani;Laki-laki;17/07/1986;RETAIL
N-27039;Putri Maharani;Wanita;15/08/1973;
N-27040;Putri Setiawan;L;05/08/1967;prio
N-27041;Andi Santoso;Pria;08/12/2000;Prioritas
N-27042;Citra Setiawan;L;15/12/1998;Prioritas
N-27043;Lutfi Maharani;;30/09/1993;RETAIL
N-27044;Vina Lestari;L;02/06/1969;Private
N-27045;Kartika Utami;Pria;24/04/2003;Reguler
N-27046;Citra Saputra;Pria;15/06/2003;Prioritas
N-27047;Sari Utami;M;13/04/1963;Private
N-27048;Gita Utami;;19/04/1960;RETAIL
N-27049;Andi Utami;Pria;17/10/1998;RETAIL
N-27050;Indah Saputra;M;30/03/1962;
N-27051;Sari Utami;L;07/05/1976;RETAIL
N-27052;Andi Saputra;L;21/10/1981;prio
N-27053;Sari Lestari;Laki-laki;31/02/1999;Private
N-27054;Citra Pratama;Female;25/03/1970;Prioritas
N-27055;Tono Setiawan;Wanita;27/08/2000;Reguler
N-27056;Rizal Kusuma;Wanita;26/11/1965;Reguler
N-27057;Dewi Setiawan;Laki-laki;21/08/1962;prio
N-27058;Maya Hakim;Laki-laki;28/11/1977;
N-27059;Nanda Kusuma;Pria;24/01/1990;RETAIL
N-27060;Rizal Pratama;Female;19/02/1972;Private
N-27061;Wawan Kusuma;Pria;22/03/1985;prio
N-27062;Andi Kusuma;M;03/03/1976;
N-27063;Zaki Permata;P;20/04/1992;
N-27064;Dewi Lestari;L;30/03/1968;Prioritas
N-27065;Indah Wijaya;P;18/12/1961;prio
N-27066;Vina Permata;Laki-laki;26/07/1965;Private
N-27067;Andi Pratama;M;31/02/1999;RETAIL
N-27068;Vina Permata;Wanita;;Private
N-27069;Joko Setiawan;Laki-laki;15/02/1991;Private
N-27070;Lutfi Santoso;Laki-laki;05/12/1961;RETAIL
N-27071;Kartika Saputra;Pria;11/05/1984;prio
N-27072;Putri Pratama;L;31/02/1999;Prioritas
N-27073;Wawan Setiawan;L;04/09/1993;Reguler
N-27074;Kartika Pratama;Laki-laki;;Reguler
N-27075;Umi Wijaya;L;01/11/1977;Prioritas
N-27076;Indah Hakim;;22/05/1963;prio
N-27077;Indah Setiawan;;26/11/1963;
N-27078;Eka Hidayat;P;23/04/1961;RETAIL
N-27079;Umi Setiawan;Laki-laki;05/05/1987;Prioritas
N-27080;Citra Kusuma;Pria;01/02/1970;Private
N-27081;Vina Pratama;M;29/04/1979;Prioritas
N-27082;Zaki Pratama;Laki-laki;31/02/1999;Private
N-27083;Joko Maharani;P;23/10/1969;Private
N-27084;Kartika Santoso;Laki-laki;06/08/1995;RETAIL
N-27085;Wawan Permata;;25/06/2004;RETAIL
N-27086;Dewi Maharani;Female;11/02/1978;Reguler
N-27087;Citra Lestari;Laki-laki;11/02/2003;Private
N-27088;Maya Wijaya;Wanita;18/04/1988;prio
N-27089;Kartika Kusuma;Female;26/04/1980;
N-27090;Sari Santoso;L;11/09/1993;
N-27091;Kartika Permata;M;01/11/1964;
N-27092;Eka Saputra;;30/01/1997;Prioritas
N-27093;Kartika Hidayat;;18/10/1989;prio
N-27094;Hadi Kusuma;Pria;19/01/1992;Reguler
N-27095;Umi Hidayat;Pria;10/03/1998;Private
N-27096;Andi Santoso;P;05/04/1974;Private
N-27097;Eka Hakim;Female;26/01/1986;Private
N-27098;Eka Kusuma;Female;20/01/1991;Prioritas
N-27099;Dewi Pratama;L;02/04/1972;Reguler
N-27100;Yuni Maharani;M;12/10/1971;prio
N-27101;Tono Permata;P;11/08/1968;Prioritas
N-27102;Dewi Utami;M;;Reguler
N-27103;Gita Wijaya;;15/08/1992;Private
N-27104;Indah Maharani;Female;31/02/1999;prio
N-27105;Eka Hakim;L;29/07/1984;Prioritas
N-27106;Maya Lestari;Pria;10/10/1964;Private
N-27107;Dewi Hakim;Female;22/05/1996;
N-27108;Joko Utami;Laki-laki;30/08/2004;Private
N-27109;Yuni Santoso;M;02/09/1963;Private
N-27110;Fajar Setiawan;Female;20/04/2002;Private
N-27111;Tono Lestari;Female;31/02/1999;RETAIL
N-27112;Maya Lestari;Laki-laki;08/06/1968;Prioritas
N-27113;Indah Setiawan;Female;02/11/1991;Reguler
N-27114;Hadi Pratama;P;22/02/1978;Reguler
N-27115;Vina Saputra;P;21/09/1982;Private
N-27116;Dewi Permata;;29/09/1972;Reguler
N-27117;Indah Maharani;L;05/09/1981;
N-27118;Dewi Wijaya;M;19/07/1982;Private
N-27119;Nanda Lestari;Wanita;07/08/1992;Reguler
N-27120;Tono Hidayat;;11/03/1968;Private
N-27121;Oki Pratama;;28/02/2001;Prioritas
N-27122;Oki Pratama;P;19/05/1987;prio
N-27123;Andi Saputra;;07/01/1966;Private
N-27124;Nanda Kusuma;;25/02/1977;RETAIL
N-27125;Andi Wijaya;Wanita;30/10/1964;Reguler
N-27126;Tono Santoso;M;09/05/1991;Prioritas
N-27127;Gita Santoso;P;;Reguler
N-27128;Joko Pratama;Wanita;30/11/1960;RETAIL
N-27129;Umi Permata;Pria;07/10/1986;prio
N-27130;Sari Setiawan;Female;23/11/1992;prio
N-27131;Tono Maharani;Female;17/05/1970;RETAIL
N-27132;Eka Hakim;Pria;04/12/1960;RETAIL
N-27133;Hadi Saputra;L;;Prioritas
N-27134;Umi Wijaya;Wanita;19/09/1961;prio
N-27135;Putri Maharani;Laki-laki;24/04/1971;RETAIL
N-27136;Yuni Saputra;Pria;31/02/1999;
N-27137;Indah Saputra;Laki-laki;03/09/1994;Prioritas
N-27138;Oki Hakim;Wanita;27/08/1970;
N-27139;Fajar Pratama;P;;
N-27140;Vina Maharani;Female;08/03/1979;prio
N-27141;Vina Hakim;Laki-laki;06/05/1963;Private
N-27142;Hadi Wijaya;;30/07/2000;
N-27143;Zaki Kusuma;M;10/11/1990;Private
N-27144;Zaki Permata;L;24/12/1965;
N-27145;Eka Lestari;M;18/01/1979;Prioritas
N-27146;Wawan Saputra;Laki-laki;24/03/1999;
N-27147;Eka Hidayat;L;26/04/2005;Prioritas
N-27148;Maya Maharani;P;13/08/1963;prio
N-27149;Oki Maharani;Laki-laki;;Reguler
N-27150;Lutfi Santoso;M;05/05/1986;Private
N-27151;Oki Lestari;Laki-laki;22/11/1992;RETAIL
N-27152;Maya Lestari;P;20/08/1997;prio
N-27153;Oki Permata;Female;19/03/1992;Reguler
N-27154;Wawan Pratama;Wanita;12/06/1972;
N-27155;Fajar Kusuma;Laki-laki;11/12/1984;
N-27156;Wawan Hidayat;Female;01/09/1995;prio
