nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-22001;Indah Utami;P;13/09/1985;prio
N-22002;Oki Permata;P;18/11/1962;Private
N-22003;Fajar Hidayat;Pria;04/06/1970;Reguler
N-22004;Gita Kusuma;Female;04/05/1989;prio
N-22005;Yuni Saputra;Laki-laki;03/09/1978;Private
N-22006;Vina Maharani;L;07/07/1971;Private
N-22007;Dewi Santoso;Wanita;18/03/1967;Prioritas
N-22008;Kartika Utami;L;10/08/2005;Prioritas
N-22009;Citra Pratama;;21/04/2003;RETAIL
N-22010;Andi Pratama;Pria;14/05/1985;Private
N-22011;Nanda Lestari;M;30/11/1982;Prioritas
N-22012;Gita Permata;Wanita;14/12/1974;prio
N-22013;Zaki Lestari;Female;28/02/1993;
N-22014;Gita Utami;Pria;20/01/1965;
N-22015;Citra Hakim;Female;09/10/1989;
N-22016;Kartika Pratama;Female;15/04/1993;Private
N-22017;Eka Hidayat;Female;23/08/1981;RETAIL
N-22018;Lutfi Saputra;Female;14/04/1977;prio
N-22019;Putri Santoso;M;25/03/1993;prio
N-22020;Eka Maharani;Laki-laki;22/08/1990;Prioritas
N-22021;Joko Santoso;L;;Reguler
N-22022;Eka Permata;Wanita;24/06/1981;Prioritas
N-22023;Vina Santoso;Female;12/04/1976;RETAIL
N-22024;Lutfi Kusuma;P;28/06/1987;Private
N-22025;Hadi Maharani;Laki-laki;18/08/1972;RETAIL
N-22026;Wawan Lestari;Pria;04/12/1988;prio
N-22027;Hadi Pratama;Wanita;12/11/2000;Reguler
N-22028;Putri Pratama;P;01/11/1976;Reguler
N-22029;Fajar Utami;Female;31/02/1999;prio
N-22030;Hadi Permata;Pria;31/02/1999;
N-22031;Dewi Utami;Female;03/12/2002;Prioritas
N-22032;Sari Saputra;L;02/10/1997;Reguler
N-22033;Eka Setiawan;Laki-laki;25/01/1963;prio
N-22034;Oki Wijaya;;28/08/2002;Reguler
N-22035;Andi Lestari;Wanita;06/10/1981;Private
N-22036;Andi Permata;Wanita;21/03/1977;RETAIL
N-22037;Zaki Utami;P;04/01/1973;Reguler
N-22038;Budi Pratama;;28/11/1972;prio
N-22039;Lutfi Santoso;L;29/04/2004;Prioritas
N-22040;Vina Lestari;L;;prio
N-22041;Eka Hidayat;;13/02/2005;Reguler
N-22042;Oki Hidayat;Pria;03/08/1977;RETAIL
N-22043;Kartika Wijaya;Female;17/01/1970;RETAIL
N-22044;Joko Lestari;M;27/08/1993;RETAIL
N-22045;Lutfi Hidayat;Wanita;26/04/1987;Private
N-22046;Putri Lestari;Pria;31/12/1982;prio
N-22047;Indah Permata;Wanita;23/12/1973;RETAIL
N-22048;Gita Lestari;;03/08/1966;Reguler
N-22049;Maya Hidayat;P;17/04/1963;RETAIL
N-22050;Wawan Hidayat;P;17/08/1971;RETAIL
N-22051;Lutfi Saputra;;29/11/2005;Reguler
N-22052;Wawan Maharani;Wanita;24/03/2001;Prioritas
N-22053;Budi Lestari;L;12/05/1969;Private
N-22054;Maya Permata;P;09/10/1992;Reguler
N-22055;Andi Hakim;P;10/09/1978;prio
N-22056;Tono Setiawan;Female;29/06/1996;
N-22057;Putri Santoso;Wanita;08/11/1972;Private
N-22058;Vina Pratama;;27/01/1973;Private
N-22059;Umi Hakim;Laki-laki;08/10/1999;
N-22060;Yuni Maharani;L;09/01/1998;prio
N-22061;Andi Utami;Pria;08/01/1983;Reguler
N-22062;Indah Hidayat;M;01/07/2001;Reguler
N-22063;Fajar Pratama;Pria;20/06/1979;Prioritas
N-22064;Kartika Santoso;;03/12/1977;RETAIL
N-22065;Eka Utami;Laki-laki;16/09/1990;Private
N-22066;Nanda Saputra;Laki-laki;16/12/1977;Private
N-22067;Gita Saputra;M;10/04/1960;Private
N-22068;Eka Pratama;M;19/11/1978;prio
N-22069;Gita Hakim;Laki-laki;31/03/1990;Reguler
N-22070;Umi Hakim;Laki-laki;16/11/1976;
N-22071;Budi Saputra;L;31/02/1999;Reguler
N-22072;Oki Hakim;Pria;09/11/1999;prio
N-22073;Tono Permata;Wanita;29/09/1972;Reguler
