nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-23001;Indah Maharani;P;07/11/2003;Reguler
N-23002;Sari Maharani;Wanita;21/03/1976;
N-23003;Vina Kusuma;;10/06/1985;Reguler
N-23004;Oki Kusuma;P;01/10/2005;RETAIL
N-23005;Rizal Setiawan;;29/08/1971;Prioritas
N-23006;Rizal Kusuma;P;;
N-23007;Indah Lestari;;09/11/1960;Prioritas
N-23008;Oki Lestari;Pria;15/02/2001;RETAIL
N-23009;Maya Hakim;;31/02/1999;Prioritas
N-23010;Umi Kusuma;Laki-laki;31/03/1973;Prioritas
N-23011;Yuni Hidayat;L;17/09/1975;Reguler
N-23012;Vina Saputra;Laki-laki;;Reguler
N-23013;Maya Kusuma;Laki-laki;02/02/2004;prio
N-23014;Joko Hidayat;Wanita;20/02/1969;Prioritas
N-23015;Oki Kusuma;Pria;04/06/1966;prio
N-23016;Fajar Maharani;Laki-laki;19/06/1989;Prioritas
N-23017;Yuni Hidayat;P;18/08/1983;prio
N-23018;Oki Setiawan;M;;Private
N-23019;Dewi Setiawan;L;20/06/1961;RETAIL
N-23020;Oki Utami;Wanita;;Reguler
N-23021;Putri Kusuma;Female;04/09/1979;Reguler
N-23022;Fajar Kusuma;Pria;05/09/1966;prio
N-23023;Kartika Santoso;P;15/04/1998;
N-23024;Gita Lestari;L;05/09/1999;RETAIL
N-23025;Citra Lestari;Wanita;;Reguler
N-23026;Citra Permata;Pria;24/12/2003;RETAIL
N-23027;Vina Permata;;16/10/1987;Reguler
N-23028;Fajar Setiawan;;20/08/1971;prio
N-23029;Oki Saputra;L;15/08/1994;Reguler
N-23030;Lutfi Santoso;P;16/03/1980;Reguler
N-23031;Andi Utami;M;17/11/1997;RETAIL
N-23032;Lutfi Saputra;Wanita;20/10/1994;Private
N-23033;Tono Maharani;L;25/09/1994;Reguler
N-23034;Joko Utami;M;09/08/1994;Private
N-23035;Dewi Setiawan;P;29/01/1970;
N-23036;Tono Saputra;L;18/10/1972;RETAIL
N-23037;Putri Setiawan;;08/08/1967;Private
N-23038;Rizal Utami;;14/02/1989;prio
N-23039;Budi Saputra;Wanita;25/03/1997;RETAIL
N-23040;Eka Wijaya;P;25/05/1987;
N-23041;Hadi Pratama;P;11/07/1972;Private
N-23042;Fajar Santoso;;10/09/1966;
N-23043;Eka Kusuma;P;12/11/1985;prio
N-23044;Maya Saputra;Female;08/09/1991;
N-23045;Fajar Pratama;;31/02/1999;Prioritas
N-23046;Rizal Utami;Pria;28/08/1978;Reguler
N-23047;Oki Kusuma;M;26/12/1961;
N-23048;Joko Santoso;;18/06/1990;prio
N-23049;Putri Pratama;L;11/11/1994;
N-23050;Citra Pratama;;17/10/1977;Prioritas
N-23051;Sari Wijaya;Female;12/11/1961;prio
N-23052;Vina Hakim;Female;13/11/1979;Reguler
N-23053;Sari Utami;M;15/08/1980;RETAIL
N-23054;Oki Hidayat;Wanita;04/07/1965;prio
N-23055;Putri Santoso;Laki-laki;06/06/1973;Private
N-23056;Vina Lestari;Laki-laki;11/10/1995;Prioritas
N-23057;Budi Permata;Laki-laki;14/09/1990;
N-23058;Eka Hidayat;Wanita;31/02/1999;RETAIL
N-23059;Gita Wijaya;Wanita;15/02/1982;RETAIL
N-23060;Putri Pratama;Laki-laki;21/04/1997;
N-23061;Andi Lestari;Wanita;05/12/1973;Private
N-23062;Maya Maharani;L;20/03/1972;Reguler
N-23063;Joko Saputra;Female;27/12/1972;Prioritas
N-23064;Tono Kusuma;Wanita;20/05/1994;RETAIL
N-23065;Putri Wijaya;L;26/04/1999;Prioritas
N-23066;Tono Saputra;P;10/10/1990;Prioritas
N-23067;Vina Maharani;Laki-laki;;Private
N-23068;Dewi Lestari;Pria;25/10/1986;Reguler
N-23069;Nanda Permata;Wanita;08/10/1967;prio
N-23070;Citra Kusuma;P;22/09/1984;Prioritas
N-23071;Hadi Maharani;;08/04/1966;Reguler
N-23072;Dewi Utami;Wanita;30/12/2005;
N-23073;Rizal Wijaya;;30/11/1963;RETAIL
N-23074;Zaki Kusuma;Pria;15/12/1985;Prioritas
N-23075;Andi Pratama;L;10/12/1977;Prioritas
N-23076;Citra Hidayat;L;16/09/1971;
N-23077;Umi Hakim;Laki-laki;26/04/1988;
N-23078;Vina Kusuma;P;13/07/1986;
N-23079;Putri Saputra;Wanita;19/02/1984;Reguler
N-23080;Nanda Santoso;Wanita;12/12/1972;RETAIL
N-23081;Indah Utami;Female;19/10/1984;Prioritas
N-23082;Andi Setiawan;Wanita;05/12/1964;Private
N-23083;Fajar Kusuma;Wanita;20/04/1978;Reguler
N-23084;Vina Hakim;;12/01/1963;Private
N-23085;Citra Setiawan;Female;14/05/1978;Prioritas
N-23086;Tono Maharani;P;;Reguler
N-23087;Tono Wijaya;Female;16/07/1992;Reguler
N-23088;Maya Hakim;P;08/05/1993;Private
N-23089;Nanda Maharani;L;03/06/1966;RETAIL
N-23090;Budi Hidayat;;;Reguler
N-23091;Rizal Saputra;L;03/01/1995;Private
N-23092;Kartika Kusuma;Wanita;05/03/1970;prio
N-23093;Lutfi Permata;Female;20/05/1980;Prioritas
N-23094;Zaki Maharani;M;25/05/2003;Prioritas
N-23095;Citra Maharani;Wanita;04/06/1986;Reguler
N-23096;Hadi Setiawan;P;21/04/1982;Reguler
N-23097;Zaki Hidayat;;07/08/1962;RETAIL
N-23098;Joko Hidayat;Laki-laki;28/10/1983;prio
N-23099;Putri Kusuma;Laki-laki;04/04/1964;Reguler
N-23100;Wawan Permata;Laki-laki;17/02/1990;Reguler
N-23101;Sari Santoso;;31/12/1982;
N-23102;Nanda Kusuma;Pria;05/01/1990;Private
N-23103;Umi Hakim;Female;28/08/1983;
N-23104;Oki Hidayat;;27/08/1982;prio
N-23105;Dewi Hidayat;Wanita;23/10/1986;prio
N-23106;Lutfi Wijaya;P;22/12/1966;Prioritas
N-23107;Sari Saputra;Female;24/04/1999;
N-23108;Maya Hakim;Pria;06/04/1973;Prioritas
N-23109;Tono Kusuma;L;04/02/2004;Private
N-23110;Wawan Pratama;Wanita;26/01/1972;RETAIL
N-23111;Indah Saputra;Pria;07/08/1998;prio
N-23112;Putri Saputra;;06/05/1985;
N-23113;Citra Wijaya;L;09/01/1969;Reguler
N-23114;Hadi Utami;M;30/12/1985;Prioritas
N-23115;Fajar Saputra;;13/06/1963;Private
N-23116;Nanda Utami;Pria;08/06/1962;RETAIL
N-23117;Oki Utami;Pria;16/02/1964;prio
N-23118;Budi Lestari;Laki-laki;26/10/1961;RETAIL
N-23119;Budi Lestari;P;11/10/1977;prio
N-23120;Wawan Kusuma;Female;05/05/1993;prio
N-23121;Eka Permata;Wanita;11/02/1972;Reguler
N-23122;Putri Permata;Wanita;05/12/1983;
N-23123;Umi Kusuma;L;25/03/1992;Reguler
N-23124;Lutfi Saputra;P;31/02/1999;Prioritas
N-23125;Maya Wijaya;L;26/02/1967;Prioritas
N-23126;Umi Maharani;;12/08/2003;RETAIL
N-23127;Lutfi Setiawan;Pria;27/03/1978;Reguler
N-23128;Rizal Lestari;P;13/07/1972;Prioritas
N-23129;Hadi Wijaya;M;19/08/1982;RETAIL
N-23130;Andi Utami;M;29/03/1973;Private
N-23131;Rizal Santoso;P;25/09/1999;RETAIL
N-23132;Putri Wijaya;P;08/11/1993;Prioritas
N-23133;Eka Setiawan;P;29/03/2000;RETAIL
N-23134;Zaki Santoso;M;22/03/1985;Prioritas
N-23135;Maya Saputra;P;22/10/1960;Private
N-23136;Sari Utami;Pria;29/12/1982;prio
N-23137;Rizal Hidayat;Wanita;24/06/1966;
N-23138;Dewi Setiawan;Pria;31/02/1999;Private
N-23139;Lutfi Wijaya;P;29/11/1995;Private
N-23140;Putri Permata;Pria;13/06/1978;Private
N-23141;Yuni Pratama;Female;23/08/1979;Private
N-23142;Gita Maharani;Female;24/07/1963;Private
N-23143;Dewi Saputra;M;27/07/1970;Private
N-23144;Citra Hakim;P;20/02/1981;Reguler
N-23145;Budi Permata;L;04/02/1992;
N-23146;Zaki Saputra;Pria;03/03/1969;Prioritas
N-23147;Joko Hakim;L;20/12/1981;Prioritas
N-23148;Tono Setiawan;Wanita;29/10/2004;Reguler
N-23149;Wawan Setiawan;;27/01/2003;RETAIL
N-23150;Yuni Lestari;;21/08/1987;Private
N-23151;Vina Utami;M;08/09/1962;Prioritas
N-23152;Andi Santoso;Pria;20/08/1963;RETAIL
N-23153;Nanda Setiawan;P;31/02/1999;RETAIL
N-23154;Yuni Wijaya;Wanita;25/12/1980;Reguler
N-23155;Oki Pratama;Wanita;24/07/1980;RETAIL
N-23156;Lutfi Saputra;Female;02/11/1978;
N-23157;Oki Hidayat;Pria;31/02/1999;Reguler
N-23158;Citra Hidayat;P;;Reguler
N-23159;Maya Permata;Pria;02/09/1998;
N-23160;Nanda Wijaya;Female;07/03/1973;Private
N-23161;Zaki Wijaya;Wanita;25/10/1992;
N-23162;Eka Setiawan;Laki-laki;23/02/1991;prio
N-23163;Kartika Wijaya;M;07/07/1968;
N-23164;Zaki Wijaya;M;04/06/1960;prio
N-23165;Sari Hidayat;M;10/04/1964;Prioritas
N-23166;Oki Utami;Pria;14/12/2001;Private
N-23167;Hadi Saputra;L;27/01/1988;Reguler
N-23168;Wawan Maharani;M;04/02/1971;Prioritas
N-23169;Zaki Hidayat;Wanita;16/12/1968;Private
N-23170;Wawan Setiawan;M;22/12/1963;prio
N-23171;Rizal Permata;L;11/12/1970;Private
N-23172;Putri Hakim;M;16/12/1989;Prioritas
N-23173;Dewi Saputra;Laki-laki;09/03/1983;Reguler
N-23174;Nanda Hidayat;Wanita;22/02/1960;RETAIL
N-23175;Budi Utami;Wanita;20/11/1995;RETAIL
N-23176;Eka Pratama;Female;21/03/1964;RETAIL
N-23177;Sari Pratama;Pria;;
N-23178;Zaki Hakim;L;04/07/1964;Private
N-23179;Rizal Santoso;L;21/02/1966;prio
N-23180;Dewi Wijaya;P;11/06/1986;Prioritas
N-23181;Umi Lestari;P;25/11/1988;
N-23182;Lutfi Utami;;15/11/1984;Reguler
N-23183;Fajar Hakim;Laki-laki;09/08/1988;Private
N-23184;Nanda Saputra;Wanita;26/07/1969;Private
N-23185;Eka Setiawan;Pria;06/07/1987;RETAIL
N-23186;Andi Maharani;;14/01/1995;Reguler
N-23187;Wawan Pratama;Wanita;14/04/1976;prio
N-23188;Joko Maharani;Laki-laki;;prio
N-23189;Wawan Hakim;L;24/04/1973;
N-23190;Wawan Pratama;Laki-laki;19/09/1999;
N-23191;Maya Santoso;;18/03/2005;
N-23192;Kartika Saputra;L;22/01/1998;Reguler
N-23193;Indah Lestari;Pria;27/12/1971;Private
N-23194;Oki Permata;Pria;07/05/1999;Reguler
N-23195;Yuni Pratama;Wanita;11/10/2003;Reguler
N-23196;Zaki Setiawan;Wanita;05/10/1995;
N-23197;Maya Utami;P;12/02/1985;Reguler
N-23198;Wawan Lestari;L;05/10/2002;
N-23199;Sari Santoso;;24/09/1982;prio
N-23200;Joko Permata;M;24/08/1999;Reguler
N-23201;Kartika Santoso;Laki-laki;30/12/1998;Private
N-23202;Joko Setiawan;;;RETAIL
N-23203;Yuni Pratama;Female;25/02/1981;Prioritas
N-23204;Vina Saputra;Wanita;16/01/1972;Prioritas
N-23205;Budi Santoso;;10/03/1975;
