nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-26001;Lutfi Maharani;Wanita;23/02/1981;Prioritas
N-26002;Lutfi Santoso;P;09/09/1986;RETAIL
N-26003;Sari Setiawan;;;
N-26004;Maya Saputra;Pria;30/11/1974;Reguler
N-26005;Wawan Pratama;L;06/11/2003;
N-26006;Yuni Hidayat;M;10/10/1975;Private
N-26007;Budi Pratama;Wanita;;Private
N-26008;Zaki Maharani;P;07/02/1996;
N-26009;Yuni Permata;;10/06/1978;RETAIL
N-26010;Eka Setiawan;;22/12/2004;Reguler
N-26011;Rizal Hidayat;M;20/06/1969;Private
N-26012;Oki Santoso;L;01/12/1968;Private
N-26013;Nanda Permata;Female;15/09/1972;prio
N-26014;Andi Pratama;;05/10/1996;Reguler
N-26015;Yuni Utami;Laki-laki;07/02/1967;Private
N-26016;Hadi Maharani;Laki-laki;22/03/1997;
N-26017;Rizal Pratama;Female;17/11/1979;
N-26018;Umi Kusuma;L;15/02/1980;
N-26019;Andi Hidayat;M;11/09/1978;Reguler
N-26020;Yuni Santoso;P;09/10/1991;prio
N-26021;Indah Hakim;P;15/04/1986;
N-26022;Lutfi Permata;L;28/09/1973;Private
N-26023;Wawan Kusuma;Pria;23/06/1960;Private
N-26024;Putri Saputra;L;15/02/1995;prio
N-26025;Gita Utami;L;04/06/1977;Prioritas
N-26026;Putri Santoso;P;08/12/1971;Reguler
N-26027;Umi Utami;Pria;04/02/1986;Private
N-26028;Tono Pratama;M;20/07/1971;Reguler
N-26029;Wawan Santoso;;19/06/1969;Reguler
N-26030;Vina Wijaya;M;24/08/1967;Private
N-26031;Sari Wijaya;Pria;01/09/1995;Reguler
N-26032;Hadi Pratama;M;12/10/1997;prio
N-26033;Nanda Wijaya;M;12/06/1963;Reguler
N-26034;Dewi Hidayat;Pria;21/03/1969;prio
N-26035;Joko Hidayat;Pria;16/04/1971;Private
N-26036;Indah Pratama;;27/11/1963;
N-26037;Yuni Hidayat;L;;Reguler
N-26038;Andi Hakim;Pria;25/11/1991;
N-26039;Tono Lestari;Laki-laki;29/03/1983;Prioritas
N-26040;Indah Hakim;L;27/06/1983;
N-26041;Joko Kusuma;Female;11/01/1980;prio
N-26042;Oki Pratama;Wanita;19/03/1996;prio
N-26043;Oki Permata;Female;23/12/1995;Private
N-26044;Dewi Saputra;Female;13/08/2000;Prioritas
N-26045;Joko Santoso;M;19/01/1979;RETAIL
