nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-29001;Dewi Hidayat;Pria;19/05/1966;Reguler
N-29002;Oki Setiawan;Pria;26/09/1972;
N-29003;Sari Pratama;;27/03/1978;prio
N-29004;Putri Permata;L;31/02/1999;Private
N-29005;Indah Santoso;Female;24/05/1998;RETAIL
N-29006;Citra Setiawan;;07/10/1974;Private
N-29007;Eka Kusuma;M;28/04/2004;
N-29008;Wawan Kusuma;P;;RETAIL
N-29009;Joko Setiawan;Female;13/06/1984;RETAIL
N-29010;Dewi Lestari;M;08/10/1964;Reguler
N-29011;Citra Setiawan;L;17/10/2001;RETAIL
N-29012;Yuni Permata;;15/09/1964;Private
N-29013;Yuni Permata;P;01/01/1998;Prioritas
N-29014;Andi Setiawan;L;05/08/1981;Prioritas
N-29015;Tono Utami;P;22/03/1995;
N-29016;Eka Utami;Wanita;20/08/1960;
N-29017;Maya Setiawan;Female;16/04/1973;RETAIL
N-29018;Zaki Utami;Wanita;19/06/1977;Private
N-29019;Zaki Permata;;16/04/1971;RETAIL
N-29020;Lutfi Saputra;Wanita;02/09/1963;RETAIL
N-29021;Oki Santoso;Wanita;02/02/2000;Private
N-29022;Zaki Kusuma;Pria;25/01/1990;Prioritas
N-29023;Hadi Permata;L;05/11/1975;RETAIL
N-29024;Vina Lestari;M;12/11/1998;Private
N-29025;Zaki Saputra;Female;08/07/1980;Reguler
N-29026;Putri Saputra;M;05/12/1969;prio
N-29027;Indah Santoso;M;19/08/1978;
N-29028;Kartika Setiawan;Pria;19/01/1966;Reguler
N-29029;Budi Lestari;Wanita;29/07/1978;prio
N-29030;Eka Pratama;;;Reguler
N-29031;Eka Pratama;M;29/05/2000;
N-29032;Indah Saputra;;;Reguler
N-29033;Andi Hakim;L;31/10/1960;Reguler
N-29034;Wawan Maharani;Pria;16/05/1992;Reguler
N-29035;Budi Maharani;Pria;18/10/1998;Private
N-29036;Indah Utami;Pria;06/11/1999;prio
N-29037;Gita Wijaya;Laki-laki;28/09/1998;Private
N-29038;Umi Pratama;M;21/06/1998;Private
N-29039;Oki Wijaya;Female;13/07/1969;RETAIL
N-29040;Gita Hidayat;Female;26/04/2000;prio
N-29041;Vina Pratama;L;;Reguler
N-29042;Eka Wijaya;Laki-laki;02/03/1972;RETAIL
