nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-28001;Zaki Utami;L;14/05/1976;Prioritas
N-28002;Eka Wijaya;M;01/05/1980;RETAIL
N-28003;Citra Lestari;Female;;Prioritas
N-28004;Maya Utami;Female;10/03/1996;prio
N-28005;Indah Hidayat;Wanita;13/09/2004;
N-28006;Tono Permata;Female;;Private
N-28007;Dewi Santoso;;05/12/1980;prio
N-28008;Joko Saputra;Laki-laki;10/04/1972;
N-28009;Indah Wijaya;;13/07/1980;RETAIL
N-28010;Andi Setiawan;;13/03/1972;RETAIL
N-28011;Andi Pratama;P;07/08/2001;Prioritas
N-28012;Nanda Wijaya;L;21/12/1974;
N-28013;Gita Wijaya;L;31/08/2002;prio
N-28014;Zaki Lestari;Female;26/07/1996;Private
N-28015;Maya Maharani;P;14/08/1961;
N-28016;Wawan Permata;L;14/11/1979;Private
N-28017;Budi Kusuma;;18/12/2001;Prioritas
N-28018;Lutfi Pratama;P;28/11/1983;RETAIL
N-28019;Zaki Hidayat;Wanita;05/07/1986;Prioritas
N-28020;Eka Kusuma;Laki-laki;14/11/1981;RETAIL
N-28021;Tono Utami;Pria;21/03/1966;Reguler
N-28022;Nanda Kusuma;Female;20/07/1989;prio
N-28023;Yuni Santoso;L;18/12/1982;Private
N-28024;Kartika Lestari;P;10/09/2000;prio
N-28025;Hadi Santoso;Female;26/12/1988;Private
N-28026;Andi Hakim;Laki-laki;10/08/1977;prio
N-28027;Umi Setiawan;P;02/05/1978;Prioritas
N-28028;Hadi Pratama;Female;24/04/1969;Reguler
N-28029;Vina Utami;M;29/07/1985;prio
N-28030;Tono Utami;Wanita;03/04/1991;RETAIL
N-28031;Sari Setiawan;Wanita;12/09/1997;Prioritas
N-28032;Rizal Santoso;Female;07/05/1990;Reguler
N-28033;Dewi Utami;Pria;17/04/1981;RETAIL
N-28034;Joko Kusuma;Pria;20/01/1963;
N-28035;Dewi Hakim;Pria;;RETAIL
N-28036;Eka Wijaya;P;20/10/1995;Private
N-28037;Maya Setiawan;Laki-laki;19/03/1975;Prioritas
N-28038;Putri Permata;Pria;28/05/2000;Prioritas
N-28039;Dewi Santoso;P;20/12/1978;
N-28040;Yuni Hakim;Pria;12/07/1963;Reguler
N-28041;Tono Pratama;Female;13/02/1998;
N-28042;Indah Setiawan;Laki-laki;12/10/1983;prio
N-28043;Nanda Kusuma;Pria;10/05/1986;prio
N-28044;Kartika Hakim;;31/07/1977;
N-28045;Hadi Saputra;L;20/02/1969;RETAIL
N-28046;Gita Wijaya;Wanita;17/06/1981;
N-28047;Sari Utami;M;14/12/1967;RETAIL
N-28048;Tono Hakim;Female;08/07/1967;
N-28049;Gita Setiawan;M;19/11/1962;Reguler
N-28050;Yuni Setiawan;P;12/06/1984;RETAIL
N-28051;Yuni Setiawan;L;19/08/2000;
N-28052;Wawan Permata;Pria;;Prioritas
N-28053;Citra Maharani;Laki-laki;26/01/1965;RETAIL
N-28054;Sari Pratama;;07/05/1978;Private
N-28055;Lutfi Lestari;Female;18/11/2005;prio
N-28056;Zaki Saputra;Laki-laki;07/04/1982;Reguler
N-28057;Eka Lestari;;06/04/1996;prio
N-28058;Kartika Lestari;Wanita;02/09/2004;Reguler
N-28059;Wawan Hakim;Pria;26/06/1999;Private
N-28060;Zaki Santoso;P;16/02/1992;
N-28061;Maya Hidayat;M;28/06/1968;prio
N-28062;Zaki Permata;Laki-laki;29/08/1993;RETAIL
N-28063;Nanda Hakim;Female;11/05/2005;Reguler
N-28064;Vina Santoso;M;31/02/1999;Reguler
N-28065;Rizal Utami;Female;13/02/1999;RETAIL
N-28066;Wawan Hakim;L;30/01/1966;
N-28067;Gita Hidayat;L;29/09/1991;RETAIL
N-28068;Oki Utami;L;;prio
N-28069;Umi Kusuma;L;28/05/1981;Private
N-28070;Dewi Kusuma;Pria;26/05/1968;Private
N-28071;Putri Kusuma;Female;02/02/1980;RETAIL
N-28072;Lutfi Lestari;M;30/11/1969;prio
N-28073;Umi Kusuma;L;16/07/1992;RETAIL
N-28074;Citra Hidayat;Female;03/09/2003;Reguler
N-28075;Budi Hakim;Female;23/05/1993;RETAIL
N-28076;Tono Utami;Female;03/10/2003;Private
N-28077;Gita Utami;M;16/01/1990;Prioritas
N-28078;Eka Permata;Female;10/09/1972;prio
N-28079;Eka Santoso;;10/07/2005;Prioritas
N-28080;Joko Saputra;Female;31/02/1999;Reguler
N-28081;Vina Kusuma;M;02/08/1974;Private
N-28082;Rizal Hidayat;Female;07/06/1985;Prioritas
N-28083;Oki Maharani;P;26/11/1969;Prioritas
N-28084;Maya Pratama;Female;09/08/1994;
N-28085;Joko Saputra;Laki-laki;04/01/1986;RETAIL
N-28086;Zaki Wijaya;;11/01/1996;Prioritas
N-28087;Eka Pratama;Wanita;;prio
N-28088;Citra Permata;P;17/07/1990;RETAIL
N-28089;Putri Kusuma;Wanita;15/11/1981;
N-28090;Gita Kusuma;M;06/12/1966;Reguler
N-28091;Lutfi Pratama;Pria;07/04/1971;prio
N-28092;Eka Maharani;M;26/10/1995;Private
