nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-24001;Sari Maharani;M;11/08/1994;RETAIL
N-24002;Tono Lestari;M;10/01/1986;Reguler
N-24003;Maya Lestari;L;04/10/1969;prio
N-24004;Maya Maharani;Wanita;27/12/1965;
N-24005;Yuni Hidayat;Female;06/03/1978;
N-24006;Eka Hakim;Laki-laki;21/11/1998;Prioritas
N-24007;Nanda Maharani;Wanita;27/03/1975;Prioritas
N-24008;Indah Wijaya;L;18/12/1998;RETAIL
N-24009;Budi Maharani;Laki-laki;15/06/1965;Reguler
N-24010;Yuni Santoso;L;11/04/1979;Prioritas
N-24011;Eka Permata;M;28/05/1997;
N-24012;Tono Santoso;Pria;28/04/1962;Prioritas
N-24013;Umi Hakim;Pria;13/01/1994;Prioritas
N-24014;Wawan Lestari;;30/12/1972;Private
N-24015;Nanda Saputra;Pria;26/01/1989;RETAIL
N-24016;Fajar Pratama;M;16/02/2005;prio
N-24017;Gita Kusuma;P;10/02/2001;Reguler
N-24018;Eka Pratama;Pria;07/05/1971;Private
N-24019;Andi Hidayat;Laki-laki;04/03/1978;
N-24020;Andi Maharani;L;24/05/1967;Reguler
N-24021;Yuni Lestari;Pria;31/02/1999;Prioritas
N-24022;Eka Permata;Wanita;15/07/1992;
N-24023;Indah Pratama;P;03/01/1998;Reguler
N-24024;Dewi Setiawan;Wanita;22/01/1960;Prioritas
N-24025;Nanda Hidayat;Pria;06/03/1968;Reguler
N-24026;Citra Pratama;Laki-laki;29/11/2002;RETAIL
N-24027;Nanda Kusuma;Pria;26/11/1996;RETAIL
N-24028;Budi Hakim;Female;29/07/1975;prio
N-24029;Rizal Kusuma;M;09/12/1961;Private
N-24030;Putri Utami;M;15/02/1999;Prioritas
N-24031;Gita Permata;Wanita;26/05/1985;RETAIL
N-24032;Joko Wijaya;M;18/01/1979;Reguler
N-24033;Fajar Saputra;Wanita;03/09/1991;Prioritas
N-24034;Zaki Pratama;Wanita;05/03/1962;prio
N-24035;Eka Permata;Pria;21/01/1965;prio
N-24036;Kartika Lestari;;03/12/1993;Private
N-24037;Hadi Utami;Pria;09/11/1964;Private
N-24038;Umi Utami;Laki-laki;05/06/1965;Reguler
N-24039;Indah Setiawan;Laki-laki;18/10/1975;RETAIL
N-24040;Maya Setiawan;M;31/02/1999;Private
N-24041;Nanda Pratama;M;20/07/1969;RETAIL
N-24042;Kartika Permata;Pria;;Reguler
N-24043;Fajar Maharani;M;28/07/1981;
N-24044;Tono Permata;Wanita;;Prioritas
N-24045;Dewi Hakim;Laki-laki;28/08/1985;Prioritas
N-24046;Sari Permata;Pria;28/12/2002;RETAIL
N-24047;Tono Utami;Wanita;19/01/2005;prio
N-24048;Fajar Kusuma;P;07/06/1983;Prioritas
N-24049;Umi Pratama;Pria;;prio
N-24050;Rizal Hidayat;L;23/06/1962;Private
N-24051;Eka Saputra;L;10/09/1995;Prioritas
N-24052;Zaki Wijaya;P;25/10/1975;
N-24053;Umi Permata;;06/04/2001;Reguler
