nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-30001;Hadi Maharani;P;07/02/2005;RETAIL
N-30002;Gita Kusuma;L;13/03/2002;prio
N-30003;Putri Santoso;Laki-laki;31/02/1999;Reguler
N-30004;Rizal Lestari;L;05/12/1966;RETAIL
N-30005;Tono Permata;;31/02/1999;prio
N-30006;Umi Pratama;Laki-laki;12/01/1993;Reguler
N-30007;Dewi Utami;Female;25/08/2002;
N-30008;Wawan Pratama;L;10/06/1997;RETAIL
N-30009;Indah Kusuma;P;26/07/1966;Prioritas
N-30010;Hadi Hakim;;25/10/2003;Prioritas
N-30011;Yuni Wijaya;L;20/05/1977;
N-30012;Fajar Kusuma;Pria;13/05/2003;Reguler
N-30013;Kartika Wijaya;M;14/07/1986;
N-30014;Yuni Pratama;Wanita;18/01/1984;Prioritas
N-30015;Putri Wijaya;;;RETAIL
N-30016;Gita Permata;;17/10/2003;RETAIL
N-30017;Kartika Setiawan;;30/08/1982;prio
N-30018;Oki Hakim;Pria;01/09/1997;
N-30019;Nanda Kusuma;Laki-laki;27/02/1987;RETAIL
N-30020;Wawan Maharani;P;01/06/1993;Reguler
N-30021;Gita Wijaya;;25/10/1983;Private
N-30022;Lutfi Utami;L;15/07/1974;Reguler
N-30023;Yuni Hidayat;P;16/09/2003;RETAIL
N-30024;Hadi Kusuma;Pria;22/06/1978;Reguler
N-30025;Putri Hakim;Female;10/04/2003;
N-30026;Lutfi Utami;Female;10/11/1980;prio
N-30027;Fajar Saputra;L;27/09/1961;prio
N-30028;Budi Hakim;P;21/01/2001;Private
N-30029;Citra Santoso;Wanita;07/06/1991;
N-30030;Rizal Hakim;M;06/07/2003;
N-30031;Nanda Hidayat;;31/02/1999;
N-30032;Sari Hakim;Female;12/04/1960;
N-30033;Citra Maharani;Female;11/09/1961;Private
N-30034;Zaki Lestari;L;;RETAIL
N-30035;Andi Lestari;Female;11/02/1961;Reguler
N-30036;Sari Pratama;;07/03/1973;
N-30037;Tono Maharani;Laki-laki;15/10/1988;Prioritas
N-30038;Hadi Utami;Wanita;30/11/1994;RETAIL
N-30039;Indah Hidayat;P;02/10/1998;Private
N-30040;Budi Utami;Female;24/03/1999;RETAIL
N-30041;Yuni Santoso;L;15/09/1974;Prioritas
N-30042;Dewi Santoso;Pria;09/10/1969;prio
N-30043;Fajar Utami;M;25/02/1972;Prioritas
N-30044;Putri Hidayat;M;11/03/1982;prio
N-30045;Zaki Hakim;Pria;26/02/2002;RETAIL
N-30046;Citra Lestari;Female;16/12/1963;prio
N-30047;Indah Saputra;;27/07/1979;Prioritas
N-30048;Rizal Pratama;Wanita;;Prioritas
N-30049;Vina Hidayat;Pria;03/02/1962;
N-30050;Oki Santoso;L;13/07/1987;Reguler
N-30051;Nanda Pratama;L;26/10/1975;Reguler
N-30052;Dewi Maharani;;29/12/2000;prio
N-30053;Joko Santoso;L;21/05/1964;RETAIL
N-30054;Andi Wijaya;;31/02/1999;Reguler
N-30055;Rizal Santoso;L;21/10/1991;prio
N-30056;Citra Maharani;Female;14/07/1988;Private
N-30057;Kartika Wijaya;Wanita;18/11/1984;Private
N-30058;Sari Maharani;;16/06/1966;Private
N-30059;Maya Setiawan;;02/09/1985;RETAIL
N-30060;Wawan Santoso;Laki-laki;01/03/1964;
N-30061;Yuni Wijaya;P;28/10/2004;RETAIL
N-30062;Zaki Utami;Wanita;02/07/1997;
N-30063;Joko Saputra;;02/01/1965;Private
N-30064;Andi Saputra;L;01/04/2004;prio
N-30065;Rizal Permata;Wanita;11/11/1976;Prioritas
N-30066;Fajar Permata;Female;09/08/1967;Prioritas
N-30067;Tono Wijaya;L;16/08/1998;Private
N-30068;Joko Maharani;Wanita;09/02/1992;Private
N-30069;Yuni Kusuma;P;15/04/1969;Private
N-30070;Zaki Permata;Wanita;20/12/1969;Private
N-30071;Andi Setiawan;L;23/11/1987;RETAIL
N-30072;Budi Pratama;Wanita;27/03/1980;RETAIL
N-30073;Umi Setiawan;M;07/09/1997;RETAIL
N-30074;Sari Kusuma;Female;31/03/1977;Private
N-30075;Hadi Kusuma;L;26/12/1982;Private
N-30076;Lutfi Utami;Laki-laki;31/02/1999;prio
N-30077;Fajar Hakim;Female;24/08/1997;
N-30078;Nanda Kusuma;Laki-laki;18/06/1971;Reguler
N-30079;Wawan Pratama;Female;20/09/1966;prio
N-30080;Indah Permata;;05/05/1973;Reguler
N-30081;Eka Utami;L;10/01/1966;Prioritas
N-30082;Wawan Wijaya;P;;Private
N-30083;Citra Kusuma;Wanita;19/03/1968;
N-30084;Kartika Utami;L;04/08/2000;Prioritas
N-30085;Sari Pratama;Wanita;02/07/1977;prio
N-30086;Gita Permata;Female;28/10/2002;Reguler
N-30087;Tono Hakim;P;25/11/1972;Prioritas
N-30088;Putri Utami;;10/12/1992;Reguler
N-30089;Lutfi Utami;M;04/07/1996;Reguler
N-30090;Vina Setiawan;P;16/08/1966;Reguler
N-30091;Dewi Hakim;L;11/11/1997;Reguler
N-30092;Budi Kusuma;P;18/01/1999;
N-30093;Gita Saputra;Laki-laki;12/07/2003;Prioritas
N-30094;Eka Maharani;Female;25/06/1996;Reguler
N-30095;Hadi Utami;L;14/12/1995;Prioritas
N-30096;Rizal Utami;M;07/06/2000;Prioritas
N-30097;Joko Saputra;Female;02/05/1985;RETAIL
N-30098;Dewi Maharani;;04/09/2005;Prioritas
N-30099;Nanda Kusuma;Pria;08/11/1989;
N-30100;Fajar Setiawan;Pria;17/06/1997;Reguler
N-30101;Dewi Lestari;P;11/08/1965;RETAIL
N-30102;Kartika Setiawan;Wanita;17/06/1997;Private
N-30103;Zaki Permata;M;10/11/1980;Reguler
N-30104;Fajar Maharani;Wanita;31/02/1999;prio
N-30105;Andi Saputra;Pria;22/11/1985;Private
N-30106;Indah Permata;Laki-laki;01/03/1999;Prioritas
N-30107;Indah Saputra;L;04/01/1984;RETAIL
N-30108;Citra Lestari;L;;Prioritas
N-30109;Putri Hakim;L;04/04/1979;Private
N-30110;Wawan Utami;Female;02/03/1964;Reguler
N-30111;Sari Santoso;;12/09/1968;prio
N-30112;Sari Setiawan;L;31/02/1999;Prioritas
N-30113;Eka Santoso;L;04/03/1985;Prioritas
N-30114;Yuni Utami;;20/03/1977;RETAIL
N-30115;Maya Hakim;Pria;23/04/1998;
N-30116;Sari Kusuma;Wanita;01/04/1974;RETAIL
N-30117;Putri Kusuma;;02/08/1970;Private
N-30118;Fajar Wijaya;Laki-laki;15/11/1984;Private
N-30119;Hadi Hakim;L;03/08/1960;prio
N-30120;Maya Kusuma;Female;17/03/2005;Private
N-30121;Tono Utami;Pria;05/07/1980;Prioritas
N-30122;Fajar Hidayat;Laki-laki;25/12/1991;Reguler
N-30123;Indah Maharani;L;17/06/1976;prio
N-30124;Zaki Pratama;P;24/11/1975;Reguler
N-30125;Nanda Saputra;Pria;04/04/1980;prio
N-30126;Indah Santoso;L;22/09/1971;
N-30127;Citra Hidayat;;03/07/2002;prio
N-30128;Lutfi Hakim;Pria;15/12/1961;Prioritas
N-30129;Indah Pratama;Female;06/09/2004;prio
N-30130;Yuni Wijaya;L;01/03/2003;RETAIL
N-30131;Budi Lestari;Laki-laki;;
N-30132;Zaki Utami;Female;30/08/1961;Private
N-30133;Hadi Hakim;Pria;07/11/1990;Private
N-30134;Fajar Kusuma;L;;Reguler
N-30135;Umi Hidayat;Female;22/10/1986;Prioritas
N-30136;Citra Saputra;Pria;06/06/1981;Prioritas
N-30137;Rizal Santoso;P;05/04/1964;Private
N-30138;Citra Santoso;M;03/04/1961;Prioritas
N-30139;Maya Kusuma;Pria;11/04/2003;Private
N-30140;Fajar Maharani;L;21/08/1973;prio
N-30141;Citra Kusuma;L;21/08/1963;
N-30142;Rizal Lestari;Wanita;21/08/1977;Private
N-30143;Joko Pratama;Female;12/03/1985;RETAIL
N-30144;Wawan Maharani;L;31/12/1994;Private
N-30145;Joko Maharani;M;10/12/2005;RETAIL
N-30146;Rizal Kusuma;L;26/02/1985;prio
N-30147;Fajar Wijaya;Laki-laki;24/03/1989;RETAIL
N-30148;Zaki Permata;;21/02/1993;prio
N-30149;Rizal Wijaya;Wanita;26/08/1974;Prioritas
N-30150;Sari Wijaya;Female;27/10/2001;RETAIL
N-30151;Sari Permata;Wanita;18/03/1961;Private
N-30152;Dewi Santoso;M;22/09/1974;Prioritas
N-30153;Zaki Kusuma;Laki-laki;12/11/2001;
N-30154;Rizal Pratama;Female;12/09/1969;RETAIL
N-30155;Maya Permata;Female;14/11/1977;Private
N-30156;Tono Pratama;P;24/04/1988;RETAIL
N-30157;Dewi Hidayat;L;10/03/1984;Reguler
N-30158;Oki Utami;P;20/07/2004;prio
N-30159;Andi Hidayat;L;16/12/1992;RETAIL
N-30160;Budi Pratama;P;18/06/2003;Prioritas
N-30161;Joko Hidayat;Female;14/01/1970;
N-30162;Sari Santoso;Female;19/01/1988;
N-30163;Umi Maharani;P;30/03/1986;
N-30164;Gita Kusuma;M;03/02/1995;prio
N-30165;Putri Utami;Pria;23/02/1995;Private
N-30166;Citra Setiawan;P;08/09/1977;prio
N-30167;Maya Santoso;Female;04/08/1960;Reguler
N-30168;Fajar Saputra;Female;09/11/1993;
N-30169;Sari Utami;;12/12/1987;prio
N-30170;Gita Lestari;;13/02/1970;Private
N-30171;Indah Permata;Wanita;11/06/1972;Prioritas
N-30172;Indah Pratama;;14/10/1992;Reguler
N-30173;Maya Setiawan;L;19/02/1991;prio
N-30174;Umi Wijaya;;11/02/1984;Private
N-30175;Gita Pratama;Laki-laki;26/10/1984;
N-30176;Nanda Santoso;P;14/10/1983;RETAIL
N-30177;Fajar Hidayat;M;06/04/1965;
N-30178;Oki Hidayat;M;28/03/1974;Prioritas
N-30179;Oki Hidayat;;01/06/1960;RETAIL
N-30180;Rizal Kusuma;Pria;09/04/1985;Private
N-30181;Yuni Setiawan;L;11/12/1984;prio
N-30182;Wawan Santoso;Female;31/02/1999;Reguler
N-30183;Eka Permata;Female;12/12/1963;Prioritas
N-30184;Indah Utami;Laki-laki;22/03/1994;
N-30185;Lutfi Lestari;Female;12/08/1980;Reguler
N-30186;Citra Lestari;;29/08/1998;Private
N-30187;Zaki Lestari;Pria;30/12/1971;Reguler
N-30188;Hadi Santoso;Pria;15/06/1966;
N-30189;Hadi Hidayat;Wanita;19/11/1969;prio
N-30190;Nanda Hidayat;Wanita;03/04/1966;
N-30191;Indah Utami;P;10/12/1965;
N-30192;Vina Hidayat;Female;01/01/1994;Private
N-30193;Putri Hakim;L;16/07/2004;
N-30194;Citra Kusuma;Laki-laki;12/04/1962;Private
N-30195;Hadi Saputra;Laki-laki;10/01/1992;Prioritas
N-30196;Budi Hidayat;;20/05/1976;Private
N-30197;Indah Kusuma;Female;28/07/1963;Reguler
N-30198;Hadi Kusuma;Female;17/03/2004;RETAIL
N-30199;Tono Maharani;;30/04/2004;Private
N-30200;Eka Hakim;Wanita;31/02/1999;Reguler
N-30201;Joko Wijaya;Wanita;28/02/1983;Prioritas
N-30202;Maya Permata;;12/04/1999;Reguler
N-30203;Rizal Wijaya;;25/09/1999;
N-30204;Putri Lestari;M;;Prioritas
N-30205;Joko Lestari;Pria;30/05/2001;Reguler
N-30206;Umi Kusuma;Wanita;10/02/1987;prio
N-30207;Kartika Lestari;M;02/12/1981;RETAIL
N-30208;Indah Hidayat;Female;02/05/1979;prio
N-30209;Maya Maharani;Laki-laki;09/03/1997;
N-30210;Dewi Lestari;P;22/12/1963;
N-30211;Maya Pratama;M;30/04/1965;Reguler
N-30212;Citra Hakim;Laki-laki;13/09/1967;RETAIL
N-30213;Vina Lestari;M;03/05/1968;RETAIL
N-30214;Fajar Permata;P;20/09/1985;
N-30215;Sari Maharani;Wanita;10/01/1993;Private
N-30216;Putri Utami;Laki-laki;31/02/1999;
N-30217;Umi Saputra;;06/12/1998;Reguler
N-30218;Tono Santoso;Laki-laki;15/10/2000;Reguler
N-30219;Fajar Setiawan;Wanita;11/08/1977;Prioritas
N-30220;Rizal Kusuma;Wanita;07/04/1992;
N-30221;Yuni Permata;P;17/10/1964;Reguler
N-30222;Indah Kusuma;L;22/05/1973;Prioritas
N-30223;Gita Pratama;M;25/08/2002;Reguler
N-30224;Putri Kusuma;Pria;26/10/1996;RETAIL
N-30225;Yuni Hakim;Laki-laki;06/12/1981;Private
N-30226;Kartika Kusuma;L;29/08/1965;Private
N-30227;Yuni Saputra;Wanita;28/04/1983;Private
N-30228;Lutfi Kusuma;P;05/08/1978;Private
N-30229;Putri Utami;Female;10/02/2003;RETAIL
N-30230;Oki Lestari;Laki-laki;24/12/1988;prio
N-30231;Hadi Lestari;Pria;22/05/1965;prio
N-30232;Rizal Permata;M;04/09/1973;Private
N-30233;Gita Kusuma;L;08/04/1967;
N-30234;Zaki Utami;;19/09/2002;prio
N-30235;Vina Maharani;;22/10/1979;Private
N-30236;Indah Permata;Pria;31/02/1999;
N-30237;Eka Maharani;Laki-laki;06/04/1967;prio
N-30238;Fajar Hidayat;Laki-laki;24/08/1982;Private
N-30239;Yuni Lestari;Female;13/09/1993;RETAIL
N-30240;Joko Kusuma;Pria;10/10/1961;prio
N-30241;Umi Kusuma;Wanita;10/07/1960;prio
N-30242;Putri Utami;Female;14/02/1966;RETAIL
N-30243;Indah Hidayat;;22/03/1969;
N-30244;Zaki Permata;P;31/03/1991;Reguler
N-30245;Zaki Santoso;Wanita;07/04/1972;
N-30246;Joko Pratama;Wanita;;Reguler
N-30247;Nanda Kusuma;L;12/09/1986;Private
N-30248;Maya Saputra;Laki-laki;10/08/2002;Reguler
N-30249;Umi Kusuma;L;12/01/1982;Prioritas
N-30250;Maya Utami;Laki-laki;06/05/1993;Prioritas
N-30251;Vina Pratama;L;31/02/1999;
N-30252;Nanda Setiawan;Female;10/01/1968;prio
N-30253;Maya Kusuma;Female;14/02/1968;
N-30254;Indah Maharani;Laki-laki;24/12/1964;Prioritas
N-30255;Sari Saputra;;11/12/1985;Reguler
N-30256;Kartika Hakim;;13/09/1991;Reguler
N-30257;Umi Maharani;M;24/07/2003;Prioritas
N-30258;Joko Saputra;P;29/12/1989;RETAIL
N-30259;Eka Setiawan;;06/03/2005;Reguler
N-30260;Putri Hidayat;;31/02/1999;RETAIL
N-30261;Citra Kusuma;;23/10/1962;Private
N-30262;Gita Kusuma;Laki-laki;14/11/1966;Private
N-30263;Gita Hakim;L;17/11/1974;
N-30264;Dewi Hakim;Female;23/06/1985;
N-30265;Vina Maharani;Pria;07/05/1985;prio
N-30266;Lutfi Utami;L;22/03/1974;
N-30267;Andi Saputra;P;10/12/1961;
N-30268;Kartika Pratama;L;;Prioritas
N-30269;Wawan Hidayat;P;02/09/1996;Prioritas
N-30270;Umi Permata;Laki-laki;20/06/1980;Reguler
N-30271;Yuni Hakim;Laki-laki;;prio
N-30272;Citra Saputra;Pria;18/08/1967;RETAIL
N-30273;Andi Hakim;Laki-laki;17/09/1960;
N-30274;Oki Setiawan;Female;07/01/2004;Private
N-30275;Tono Kusuma;Pria;30/08/2001;Private
N-30276;Maya Maharani;Pria;18/10/1981;Prioritas
N-30277;Umi Pratama;Laki-laki;12/02/1980;Private
N-30278;Citra Hakim;L;;Prioritas
N-30279;Gita Setiawan;Pria;27/03/1966;Reguler
N-30280;Kartika Lestari;Female;;Reguler
