nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-21001;Indah Saputra;P;24/03/2005;RETAIL
N-21002;Umi Kusuma;L;19/03/1968;
N-21003;Putri Wijaya;Female;26/05/1986;Private
N-21004;Fajar Hakim;Pria;31/02/1999;RETAIL
N-21005;Umi Lestari;Wanita;28/06/1964;RETAIL
N-21006;Rizal Wijaya;Female;12/07/1978;
N-21007;Joko Setiawan;Female;15/04/1960;Prioritas
N-21008;Wawan Permata;Pria;06/05/1972;Private
N-21009;Lutfi Hidayat;L;22/06/1977;RETAIL
N-21010;Rizal Setiawan;Laki-laki;05/09/1961;prio
N-21011;Hadi Kusuma;Laki-laki;30/07/1987;
N-21012;Sari Lestari;Female;17/02/1980;
N-21013;Citra Hakim;L;;Private
N-21014;Umi Lestari;Pria;12/09/1971;Prioritas
N-21015;Maya Santoso;P;31/02/1999;Prioritas
N-21016;Kartika Lestari;L;26/07/1998;RETAIL
N-21017;Vina Santoso;;24/04/1969;RETAIL
N-21018;Oki Maharani;Female;24/07/1989;Private
N-21019;Zaki Maharani;L;09/02/1975;
N-21020;Budi Pratama;L;;Private
N-21021;Joko Utami;Female;29/04/1997;Private
N-21022;Citra Wijaya;Wanita;06/09/1984;RETAIL
N-21023;Fajar Santoso;Laki-laki;30/03/1979;prio
N-21024;Putri Utami;;18/03/2001;prio
N-21025;Umi Maharani;Pria;19/02/1989;Private
N-21026;Joko Wijaya;;01/09/1996;prio
N-21027;Eka Hakim;P;27/04/1980;
N-21028;Sari Kusuma;;19/07/1975;Prioritas
N-21029;Tono Pratama;P;03/06/1998;Prioritas
N-21030;Sari Kusuma;Wanita;;Prioritas
N-21031;Yuni Lestari;Female;22/08/1973;Private
N-21032;Joko Kusuma;;28/12/1973;Reguler
N-21033;Umi Utami;M;23/06/1960;Prioritas
N-21034;Fajar Hidayat;;31/02/1999;Private
N-21035;Fajar Setiawan;;31/02/1999;Prioritas
N-21036;Eka Hakim;M;05/11/1970;
N-21037;Dewi Wijaya;Laki-laki;;prio
N-21038;Citra Hakim;M;07/02/1996;
N-21039;Andi Wijaya;;13/11/1983;RETAIL
N-21040;Citra Hidayat;P;24/09/1988;RETAIL
N-21041;Indah Permata;Wanita;09/05/2005;Prioritas
N-21042;Citra Pratama;;;RETAIL
N-21043;Wawan Permata;Pria;22/05/1973;Reguler
N-21044;Nanda Santoso;Wanita;05/04/1988;Reguler
N-21045;Yuni Lestari;L;06/07/1965;prio
N-21046;Dewi Permata;;19/04/1970;RETAIL
N-21047;Citra Hakim;L;30/10/2004;prio
N-21048;Nanda Setiawan;Wanita;24/11/1966;Private
N-21049;Yuni Wijaya;L;27/02/1972;RETAIL
N-21050;Lutfi Utami;L;;
N-21051;Umi Lestari;L;17/12/1969;Reguler
N-21052;Citra Lestari;Laki-laki;07/03/1967;prio
N-21053;Tono Saputra;P;17/05/1967;Prioritas
N-21054;Eka Saputra;Wanita;21/02/1968;Reguler
N-21055;Gita Permata;Female;06/11/2004;
N-21056;Wawan Santoso;L;16/01/1996;Reguler
N-21057;Zaki Permata;L;26/07/1990;prio
N-21058;Budi Pratama;Female;12/06/1980;Prioritas
N-21059;Indah Lestari;M;14/01/1975;RETAIL
N-21060;Nanda Wijaya;Wanita;27/04/1996;
N-21061;Andi Permata;;26/08/1977;Reguler
N-21062;Yuni Maharani;Pria;24/10/1985;Reguler
N-21063;Dewi Maharani;Wanita;28/02/2002;RETAIL
N-21064;Wawan Maharani;Pria;26/06/1975;RETAIL
N-21065;Oki Saputra;Laki-laki;21/09/1995;RETAIL
N-21066;Putri Permata;M;28/12/1998;prio
N-21067;Sari Santoso;L;27/05/1960;Prioritas
N-21068;Zaki Maharani;;28/12/1987;Private
N-21069;Rizal Setiawan;Laki-laki;24/03/1962;Prioritas
N-21070;Gita Kusuma;;31/02/1999;Private
N-21071;Gita Wijaya;P;19/06/2001;RETAIL
N-21072;Fajar Hidayat;P;27/06/1971;Private
N-21073;Eka Kusuma;;31/10/1979;prio
N-21074;Citra Kusuma;L;24/11/2003;Reguler
N-21075;Tono Kusuma;;25/08/1984;Private
N-21076;Wawan Maharani;Pria;12/05/1996;Private
N-21077;Yuni Saputra;Wanita;04/08/1960;Private
N-21078;Indah Saputra;Laki-laki;14/10/1981;Private
N-21079;Sari Lestari;;19/09/1961;Reguler
N-21080;Putri Wijaya;;15/12/1971;Private
N-21081;Indah Kusuma;Pria;25/11/1974;prio
N-21082;Tono Hidayat;P;07/07/1971;RETAIL
N-21083;Rizal Lestari;;17/07/1978;prio
