nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-11001;Vina Wijaya;L;20/12/1981;Prioritas
N-11002;Eka Setiawan;P;19/10/1967;Private
N-11003;Nanda Saputra;L;14/11/1980;Private
N-11004;Umi Saputra;Laki-laki;20/08/1997;Prioritas
N-11005;Oki Hakim;Female;31/07/1960;Prioritas
N-11006;Yuni Maharani;Pria;26/04/1979;RETAIL
N-11007;Dewi Wijaya;Wanita;09/11/1990;Private
N-11008;Indah Saputra;;16/12/1993;Reguler
N-11009;Sari Santoso;Pria;29/03/1966;Reguler
N-11010;Wawan Pratama;Female;19/11/1980;Reguler
N-11011;Maya Santoso;;23/09/1992;Prioritas
N-11012;Lutfi Hidayat;Laki-laki;28/05/1966;Private
N-11013;Vina Lestari;Laki-laki;15/01/1994;RETAIL
N-11014;Vina Setiawan;Laki-laki;06/01/1965;Prioritas
N-11015;Budi Hidayat;Wanita;05/12/1978;Private
N-11016;Yuni Hidayat;Laki-laki;30/06/1995;
N-11017;Oki Lestari;Female;28/07/1983;
N-11018;Tono Maharani;Wanita;29/05/1972;Private
N-11019;Putri Wijaya;L;17/09/1973;
N-11020;Fajar Utami;Wanita;09/07/1994;prio
N-11021;Umi Kusuma;Female;11/01/1961;
N-11022;Zaki Wijaya;Female;08/07/1990;Reguler
N-11023;Joko Maharani;M;18/08/1983;Private
N-11024;Fajar Permata;P;10/10/1986;
N-11025;Rizal Hakim;Laki-laki;29/06/1974;Private
N-11026;Rizal Saputra;Pria;13/01/1970;RETAIL
N-11027;Joko Pratama;L;24/01/1967;Reguler
N-11028;Zaki Kusuma;P;13/04/1971;Prioritas
N-11029;Wawan Kusuma;M;17/12/1997;Prioritas
N-11030;Sari Setiawan;Laki-laki;18/10/1995;
N-11031;Vina Hidayat;;03/07/2000;Reguler
N-11032;Hadi Pratama;P;23/08/1980;Private
N-11033;Hadi Saputra;P;13/04/1965;Prioritas
N-11034;Citra Saputra;Pria;31/02/1999;Prioritas
N-11035;Indah Utami;;14/11/1971;
N-11036;Tono Hakim;;07/06/2002;prio
N-11037;Gita Wijaya;P;14/10/1991;prio
N-11038;Nanda Kusuma;L;29/10/1968;Reguler
N-11039;Maya Setiawan;Pria;20/10/1969;Prioritas
N-11040;Gita Pratama;;17/06/1976;RETAIL
N-11041;Oki Pratama;P;13/10/1968;Reguler
N-11042;Vina Permata;L;16/03/1981;Prioritas
N-11043;Nanda Kusuma;;24/12/1995;Reguler
N-11044;Fajar Maharani;L;17/10/1983;prio
N-11045;Joko Maharani;;14/08/1986;Prioritas
N-11046;Budi Hakim;L;16/02/1965;Reguler
N-11047;Tono Kusuma;M;31/02/1999;Private
N-11048;Citra Lestari;P;06/02/1981;prio
N-11049;Dewi Hakim;Laki-laki;26/07/1963;Private
N-11050;Citra Maharani;Pria;29/04/1978;
N-11051;Yuni Hidayat;Laki-laki;28/09/1971;
N-11052;Vina Santoso;;05/07/1966;Reguler
N-11053;Oki Hakim;P;31/02/1999;Prioritas
N-11054;Rizal Santoso;M;04/03/1966;Prioritas
N-11055;Lutfi Santoso;M;20/02/1987;Private
N-11056;Vina Permata;L;10/11/1986;
N-11057;Dewi Lestari;Female;08/08/1969;
N-11058;Sari Lestari;Female;23/11/1978;
N-11059;Kartika Pratama;Female;12/07/1982;Reguler
N-11060;Citra Utami;Wanita;15/12/1963;Reguler
N-11061;Kartika Lestari;Female;22/08/1999;Private
N-11062;Yuni Maharani;L;16/05/1973;Private
N-11063;Budi Hidayat;M;02/10/1963;RETAIL
N-11064;Lutfi Saputra;Pria;21/05/1982;
N-11065;Dewi Hidayat;Wanita;12/11/1973;Prioritas
N-11066;Fajar Lestari;Wanita;;
N-11067;Kartika Maharani;Laki-laki;12/09/1969;prio
N-11068;Budi Kusuma;Laki-laki;18/04/2001;RETAIL
N-11069;Joko Pratama;Laki-laki;;Prioritas
N-11070;Maya Hidayat;Female;15/01/1985;RETAIL
N-11071;Vina Permata;Wanita;16/09/1989;Reguler
N-11072;Dewi Santoso;M;25/10/1983;Reguler
N-11073;Dewi Hakim;Wanita;21/02/1988;prio
N-11074;Umi Permata;P;19/01/1977;RETAIL
N-11075;Budi Setiawan;Wanita;;Private
N-11076;Wawan Setiawan;Laki-laki;11/04/1966;
N-11077;Kartika Hakim;Pria;07/03/1971;
N-11078;Joko Permata;Female;06/04/1989;prio
N-11079;Yuni Santoso;M;05/01/1994;
N-11080;Zaki Lestari;Female;14/01/1960;RETAIL
N-11081;Joko Pratama;Wanita;28/11/1988;prio
N-11082;Oki Kusuma;Laki-laki;23/03/1975;
N-11083;Citra Santoso;Pria;26/01/1981;
N-11084;Joko Pratama;Laki-laki;23/02/1964;Prioritas
N-11085;Putri Hakim;P;11/06/1977;
N-11086;Yuni Maharani;;28/03/1973;
N-11087;Yuni Saputra;P;19/08/1979;Prioritas
N-11088;Yuni Permata;;31/02/1999;Prioritas
N-11089;Dewi Kusuma;M;19/06/1988;prio
N-11090;Umi Setiawan;Wanita;02/01/2000;Prioritas
N-11091;Zaki Kusuma;;07/03/1982;
N-11092;Indah Permata;;20/08/1984;prio
N-11093;Citra Setiawan;Female;17/02/1990;RETAIL
N-11094;Sari Wijaya;M;13/05/1994;
N-11095;Eka Setiawan;Laki-laki;31/02/1999;prio
N-11096;Kartika Permata;;22/07/1978;prio
N-11097;Maya Hakim;L;15/02/1994;prio
N-11098;Andi Hidayat;Female;04/08/1997;Private
N-11099;Zaki Setiawan;Laki-laki;26/06/1984;prio
N-11100;Putri Saputra;Wanita;09/04/1996;
N-11101;Fajar Kusuma;M;02/06/1962;prio
N-11102;Tono Hakim;L;14/06/1998;Prioritas
N-11103;Oki Lestari;L;14/05/1989;Prioritas
N-11104;Oki Hidayat;Pria;05/01/1994;RETAIL
N-11105;Nanda Santoso;P;02/09/1964;RETAIL
N-11106;Hadi Utami;P;12/08/1963;Reguler
N-11107;Hadi Pratama;L;26/05/1981;Prioritas
N-11108;Putri Utami;P;22/07/1979;prio
N-11109;Yuni Santoso;Pria;11/04/1970;Prioritas
N-11110;Joko Wijaya;L;02/09/1993;prio
N-11111;Yuni Pratama;P;14/10/1981;Reguler
N-11112;Yuni Santoso;P;07/09/1963;RETAIL
N-11113;Sari Maharani;Pria;31/02/1999;
N-11114;Kartika Saputra;Wanita;20/06/1969;prio
N-11115;Lutfi Utami;;26/01/1999;Prioritas
N-11116;Zaki Permata;Female;18/05/2003;prio
N-11117;Nanda Setiawan;Female;09/01/1982;Reguler
N-11118;Indah Kusuma;Laki-laki;31/12/1993;RETAIL
N-11119;Andi Kusuma;Pria;11/01/1979;RETAIL
N-11120;Indah Hidayat;Female;13/10/1984;Private
N-11121;Andi Permata;Laki-laki;17/06/1996;prio
N-11122;Sari Pratama;;13/01/2004;prio
N-11123;Andi Wijaya;Female;29/10/1981;RETAIL
N-11124;Wawan Hakim;Pria;03/11/1990;prio
