nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-19001;Lutfi Kusuma;;14/08/1979;Reguler
N-19002;Eka Saputra;M;;prio
N-19003;Oki Lestari;;16/01/1980;Reguler
N-19004;Maya Lestari;M;23/07/1999;Private
N-19005;Budi Hakim;Pria;22/12/2003;Prioritas
N-19006;Tono Utami;Laki-laki;24/10/1979;Private
N-19007;Eka Kusuma;;12/03/1966;prio
N-19008;Sari Pratama;;03/11/1960;Private
N-19009;Lutfi Lestari;Pria;23/08/1996;RETAIL
N-19010;Oki Maharani;Female;03/11/1991;Reguler
N-19011;Lutfi Setiawan;;;Prioritas
N-19012;Kartika Santoso;Female;03/04/1976;Prioritas
N-19013;Nanda Utami;Wanita;19/02/2005;prio
N-19014;Oki Hidayat;L;05/07/1961;prio
N-19015;Maya Hidayat;Pria;15/02/1981;
N-19016;Sari Lestari;Laki-laki;08/06/1997;Private
N-19017;Eka Hidayat;;21/09/1960;Private
N-19018;Yuni Maharani;Female;30/06/2003;Prioritas
N-19019;Budi Lestari;Wanita;27/06/1973;Prioritas
N-19020;Yuni Santoso;Wanita;08/08/2000;RETAIL
N-19021;Zaki Saputra;Wanita;02/01/2005;RETAIL
N-19022;Putri Maharani;L;06/08/2000;Private
N-19023;Wawan Permata;;30/03/1965;prio
N-19024;Fajar Kusuma;Laki-laki;16/05/1965;RETAIL
N-19025;Putri Pratama;Pria;17/04/1976;prio
N-19026;Kartika Permata;Pria;13/06/2005;Private
N-19027;Rizal Utami;Laki-laki;;RETAIL
N-19028;Sari Lestari;Female;16/10/1977;prio
N-19029;Dewi Kusuma;P;26/01/2002;Private
N-19030;Fajar Kusuma;Pria;31/02/1999;
N-19031;Joko Lestari;Laki-laki;25/10/1976;Private
N-19032;Rizal Santoso;;;Prioritas
N-19033;Oki Permata;L;15/04/1986;RETAIL
N-19034;Gita Permata;L;08/10/1993;
N-19035;Nanda Santoso;Laki-laki;15/09/1977;Prioritas
N-19036;Citra Permata;L;21/06/1971;RETAIL
N-19037;Vina Kusuma;M;09/04/1992;RETAIL
N-19038;Rizal Wijaya;L;08/06/1987;
N-19039;Sari Hidayat;Laki-laki;29/02/1992;Private
N-19040;Tono Maharani;Laki-laki;21/09/1974;Reguler
N-19041;Rizal Pratama;Laki-laki;20/06/1981;prio
N-19042;Gita Lestari;Female;26/12/1982;RETAIL
N-19043;Joko Wijaya;Female;22/11/1995;prio
N-19044;Yuni Lestari;P;04/04/2003;
N-19045;Rizal Saputra;M;12/09/1967;prio
N-19046;Vina Hakim;;03/01/1976;
N-19047;Yuni Utami;;26/11/1962;Prioritas
N-19048;Hadi Saputra;L;28/07/1985;
N-19049;Hadi Saputra;L;02/09/1961;
N-19050;Yuni Wijaya;M;12/09/1966;Prioritas
N-19051;Umi Hidayat;M;18/03/1997;
N-19052;Maya Wijaya;;30/08/2004;RETAIL
