nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-25001;Maya Pratama;;09/01/1986;RETAIL
N-25002;Budi Saputra;Pria;13/03/1960;
N-25003;Zaki Kusuma;;25/12/1977;Reguler
N-25004;Budi Hakim;Wanita;17/05/1996;RETAIL
N-25005;Hadi Santoso;Laki-laki;27/04/1972;prio
N-25006;Yuni Kusuma;Female;02/10/1965;
N-25007;Andi Santoso;Female;31/02/1999;RETAIL
N-25008;Vina Setiawan;L;23/06/1982;Reguler
N-25009;Andi Hidayat;Female;06/12/2004;Prioritas
N-25010;Wawan Kusuma;Wanita;;RETAIL
N-25011;Andi Hidayat;P;06/03/1979;Reguler
N-25012;Maya Pratama;Female;01/07/1991;RETAIL
N-25013;Maya Santoso;M;;Reguler
N-25014;Maya Wijaya;P;04/01/1968;prio
N-25015;Dewi Wijaya;M;17/06/1969;prio
N-25016;Gita Kusuma;L;08/01/1976;Private
N-25017;Putri Pratama;Laki-laki;10/12/1984;Prioritas
N-25018;Sari Saputra;L;05/08/1997;
N-25019;Joko Hidayat;;21/06/1996;RETAIL
N-25020;Umi Saputra;Wanita;16/09/1980;prio
N-25021;Budi Maharani;L;19/12/2004;prio
N-25022;Dewi Santoso;L;20/05/1991;Private
N-25023;Indah Kusuma;P;26/11/1973;
N-25024;Putri Maharani;Female;18/01/1985;
N-25025;Indah Hakim;Female;20/01/1993;
N-25026;Nanda Utami;Laki-laki;07/09/1967;RETAIL
N-25027;Zaki Hakim;;20/04/2003;RETAIL
N-25028;Andi Setiawan;M;01/11/1977;prio
N-25029;Rizal Kusuma;L;13/02/1986;Reguler
N-25030;Lutfi Saputra;Female;07/08/1971;Prioritas
N-25031;Putri Maharani;Wanita;23/08/1992;prio
N-25032;Yuni Hidayat;Pria;;Prioritas
N-25033;Citra Utami;Female;;Reguler
N-25034;Andi Utami;Laki-laki;11/01/2005;RETAIL
N-25035;Hadi Kusuma;Pria;11/01/1983;prio
N-25036;Oki Pratama;L;10/11/1968;Reguler
N-25037;Andi Lestari;P;21/01/1963;Reguler
N-25038;Citra Saputra;Pria;09/10/1994;
N-25039;Citra Pratama;Female;04/11/1999;prio
N-25040;Dewi Utami;L;04/03/1980;
N-25041;Lutfi Santoso;Laki-laki;01/04/2004;Private
N-25042;Hadi Kusuma;Laki-laki;26/05/1998;prio
N-25043;Eka Santoso;Female;20/10/1994;prio
N-25044;Fajar Saputra;;06/08/1975;RETAIL
N-25045;Putri Permata;;24/06/1975;
N-25046;Joko Hidayat;Wanita;13/08/1987;RETAIL
N-25047;Oki Kusuma;Laki-laki;24/02/1970;Private
N-25048;Tono Pratama;M;17/05/2004;
N-25049;Putri Permata;Laki-laki;08/05/1997;RETAIL
N-25050;Zaki Utami;;20/02/1987;prio
N-25051;Zaki Kusuma;Pria;03/01/1966;RETAIL
N-25052;Andi Permata;Pria;24/06/1990;Private
N-25053;Lutfi Lestari;;16/11/1979;RETAIL
N-25054;Indah Kusuma;P;01/11/1979;prio
N-25055;Rizal Permata;Female;12/01/1961;prio
N-25056;Budi Hidayat;;30/12/1963;Prioritas
N-25057;Hadi Setiawan;Laki-laki;12/09/2002;
N-25058;Kartika Hakim;Wanita;22/03/1979;prio
N-25059;Yuni Hakim;Laki-laki;16/04/1966;RETAIL
N-25060;Sari Utami;L;30/07/1967;
N-25061;Joko Permata;;23/09/1978;RETAIL
N-25062;Rizal Permata;Pria;27/04/1965;Reguler
N-25063;Rizal Utami;Wanita;31/02/1999;
N-25064;Andi Pratama;Laki-laki;02/12/1986;RETAIL
N-25065;Dewi Hakim;;05/02/1985;prio
N-25066;Hadi Lestari;Female;;prio
N-25067;Budi Kusuma;P;29/09/1982;Private
N-25068;Kartika Lestari;M;14/02/1961;
N-25069;Kartika Santoso;M;13/04/1992;
