nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-18001;Fajar Utami;Laki-laki;06/06/2003;RETAIL
N-18002;Maya Hidayat;Pria;22/02/1970;Reguler
N-18003;Andi Wijaya;Laki-laki;18/07/1967;Reguler
N-18004;Umi Wijaya;M;11/08/1973;Private
N-18005;Maya Hakim;Laki-laki;08/05/1984;RETAIL
N-18006;Rizal Pratama;;26/02/1971;
N-18007;Yuni Utami;Pria;26/06/1986;
N-18008;Yuni Santoso;;10/01/1960;Reguler
N-18009;Zaki Hidayat;Pria;23/02/1984;Prioritas
N-18010;Joko Lestari;L;;
N-18011;Fajar Kusuma;L;01/07/1970;Prioritas
N-18012;Rizal Permata;;26/06/1961;Private
N-18013;Nanda Wijaya;P;19/03/1976;
N-18014;Joko Hidayat;P;07/07/1982;Private
N-18015;Kartika Pratama;Wanita;17/04/1996;Prioritas
N-18016;Putri Maharani;P;31/10/1974;RETAIL
N-18017;Oki Maharani;L;10/09/2004;
N-18018;Indah Hakim;Female;06/06/1966;Reguler
N-18019;Gita Kusuma;;18/01/1976;Prioritas
N-18020;Putri Utami;Wanita;03/03/1996;Private
N-18021;Maya Wijaya;M;02/04/1978;Private
N-18022;Wawan Utami;Wanita;17/10/1991;RETAIL
N-18023;Yuni Setiawan;M;;
N-18024;Nanda Hakim;;18/04/1993;
N-18025;Budi Pratama;P;20/10/1968;Prioritas
N-18026;Kartika Kusuma;L;16/05/1969;prio
N-18027;Kartika Pratama;Laki-laki;19/06/1984;Private
N-18028;Citra Wijaya;M;27/09/1989;prio
N-18029;Lutfi Pratama;Female;25/12/1968;prio
N-18030;Yuni Saputra;M;06/05/2005;prio
N-18031;Eka Pratama;P;11/07/1988;RETAIL
N-18032;Rizal Setiawan;;12/06/1973;Reguler
N-18033;Hadi Saputra;M;27/03/1983;
N-18034;Fajar Saputra;Pria;07/11/1975;Private
N-18035;Umi Hidayat;;29/08/1963;RETAIL
N-18036;Oki Pratama;Wanita;16/07/1972;prio
N-18037;Nanda Pratama;L;02/02/1986;Reguler
N-18038;Fajar Lestari;Pria;23/11/1980;prio
N-18039;Budi Saputra;Female;;prio
N-18040;Wawan Hakim;;08/06/1976;Prioritas
N-18041;Oki Hakim;P;27/09/2000;prio
N-18042;Fajar Santoso;;04/01/1978;RETAIL
N-18043;Andi Wijaya;M;25/05/2001;Reguler
N-18044;Vina Kusuma;;12/04/1962;Prioritas
N-18045;Dewi Santoso;L;10/10/1965;RETAIL
N-18046;Oki Setiawan;P;09/10/1978;RETAIL
N-18047;Hadi Utami;Female;29/05/1978;RETAIL
N-18048;Vina Hidayat;L;15/07/2003;RETAIL
N-18049;Sari Santoso;P;26/06/1981;
N-18050;Vina Utami;Female;;RETAIL
N-18051;Fajar Santoso;Pria;20/12/1970;Prioritas
N-18052;Rizal Permata;;18/09/1987;prio
N-18053;Citra Setiawan;Pria;23/07/1988;Prioritas
N-18054;Tono Pratama;P;25/06/1989;prio
N-18055;Citra Hakim;Wanita;16/04/1980;prio
N-18056;Dewi Permata;L;18/08/1991;Prioritas
N-18057;Rizal Utami;Female;09/02/1967;prio
N-18058;Hadi Saputra;P;25/06/1969;prio
N-18059;Sari Permata;Female;01/10/1985;prio
N-18060;Joko Saputra;P;05/07/1960;Reguler
N-18061;Lutfi Hakim;Laki-laki;07/01/1965;RETAIL
N-18062;Fajar Hidayat;L;04/10/1971;Reguler
N-18063;Oki Saputra;;21/04/1996;RETAIL
N-18064;Rizal Utami;Laki-laki;23/06/1964;Prioritas
N-18065;Wawan Santoso;P;31/02/1999;Reguler
N-18066;Maya Permata;Wanita;05/05/1962;RETAIL
N-18067;Hadi Utami;Female;24/06/2001;RETAIL
N-18068;Lutfi Hakim;;20/01/1970;Prioritas
N-18069;Eka Maharani;Pria;23/04/2005;prio
N-18070;Citra Setiawan;Pria;25/05/1964;RETAIL
N-18071;Fajar Santoso;Pria;12/12/1979;
N-18072;Budi Setiawan;Laki-laki;25/04/2002;Prioritas
N-18073;Fajar Utami;Laki-laki;17/07/1968;Prioritas
N-18074;Hadi Maharani;Female;;
N-18075;Hadi Hidayat;Laki-laki;28/06/1973;prio
N-18076;Dewi Santoso;Pria;25/05/1979;
N-18077;Rizal Maharani;M;18/07/2003;
N-18078;Oki Hidayat;Wanita;01/05/1963;
N-18079;Budi Hakim;M;20/06/1992;Private
N-18080;Nanda Permata;;31/05/1996;prio
N-18081;Rizal Pratama;Female;21/02/1988;Reguler
N-18082;Putri Hakim;;11/07/2000;Reguler
N-18083;Andi Permata;P;12/11/1963;Reguler
N-18084;Oki Pratama;M;10/07/1977;
N-18085;Vina Hidayat;Pria;21/10/1996;
N-18086;Hadi Utami;M;26/05/1967;prio
N-18087;Rizal Setiawan;M;;Prioritas
N-18088;Fajar Kusuma;Pria;24/03/2002;Prioritas
N-18089;Zaki Pratama;Laki-laki;06/04/1999;Prioritas
N-18090;Vina Kusuma;;13/05/1963;Reguler
N-18091;Zaki Pratama;M;19/06/1964;Private
N-18092;Nanda Utami;Wanita;17/06/2001;Prioritas
N-18093;Umi Permata;Wanita;09/10/1981;Reguler
N-18094;Budi Hakim;;11/05/1967;
N-18095;Sari Hakim;M;03/10/1966;RETAIL
N-18096;Rizal Hidayat;Laki-laki;20/08/1961;
N-18097;Sari Santoso;Pria;28/06/1981;Prioritas
N-18098;Putri Hidayat;Pria;15/04/1987;Private
N-18099;Maya Hidayat;Wanita;05/01/1966;Reguler
N-18100;Yuni Lestari;Wanita;24/07/1966;Private
N-18101;Hadi Kusuma;Female;19/02/1975;prio
N-18102;Zaki Saputra;;21/12/1987;
N-18103;Wawan Saputra;Laki-laki;11/09/2004;RETAIL
N-18104;Oki Santoso;;26/05/1997;Private
N-18105;Hadi Permata;P;15/01/1961;
N-18106;Lutfi Maharani;Female;02/12/1977;Reguler
N-18107;Citra Saputra;Female;31/02/1999;RETAIL
N-18108;Umi Lestari;Laki-laki;09/09/1962;Prioritas
N-18109;Maya Saputra;Female;09/12/1979;
N-18110;Yuni Setiawan;L;16/11/1961;prio
N-18111;Rizal Kusuma;M;22/09/2004;prio
N-18112;Umi Wijaya;Laki-laki;04/01/1964;prio
N-18113;Putri Permata;Female;06/04/1996;prio
N-18114;Putri Maharani;;;Private
N-18115;Maya Permata;Pria;26/11/1994;
N-18116;Maya Hakim;Female;25/04/1977;RETAIL
N-18117;Gita Lestari;M;02/04/2001;Reguler
N-18118;Zaki Wijaya;Female;23/05/1998;prio
N-18119;Putri Pratama;;03/11/1962;Private
N-18120;Joko Maharani;P;20/07/1981;RETAIL
N-18121;Kartika Permata;Female;31/02/1999;Prioritas
N-18122;Kartika Setiawan;Wanita;11/03/1965;Prioritas
