nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-12001;Hadi Hidayat;Wanita;17/02/1973;Prioritas
N-12002;Joko Pratama;Laki-laki;07/12/1974;RETAIL
N-12003;Budi Hakim;P;05/04/1996;Reguler
N-12004;Umi Wijaya;Female;28/08/1978;Reguler
N-12005;Umi Hakim;Wanita;28/03/1977;Reguler
N-12006;Zaki Kusuma;Pria;18/08/1963;RETAIL
N-12007;Vina Kusuma;;17/04/1993;Reguler
N-12008;Zaki Utami;L;13/08/1962;prio
N-12009;Gita Hidayat;L;;RETAIL
N-12010;Budi Wijaya;M;08/06/1994;prio
N-12011;Joko Hakim;M;23/06/1975;Reguler
N-12012;Nanda Pratama;Wanita;27/07/2004;Reguler
N-12013;Rizal Kusuma;Female;02/06/1975;Private
N-12014;Tono Saputra;Female;26/12/1978;prio
N-12015;Yuni Kusuma;M;31/02/1999;Reguler
N-12016;Oki Hidayat;Wanita;30/08/2001;Private
N-12017;Nanda Setiawan;Laki-laki;17/11/1963;prio
N-12018;Eka Santoso;P;05/12/1976;RETAIL
N-12019;Wawan Santoso;Pria;13/02/2002;prio
N-12020;Budi Kusuma;;11/01/1998;Prioritas
N-12021;Fajar Hakim;M;01/12/1992;
N-12022;Fajar Kusuma;;05/04/1988;Private
N-12023;Rizal Kusuma;L;11/11/1987;Private
N-12024;Citra Setiawan;Laki-laki;03/02/1972;
N-12025;Hadi Kusuma;Pria;08/03/2000;prio
N-12026;Zaki Kusuma;Wanita;;prio
N-12027;Fajar Utami;P;09/10/1973;Reguler
N-12028;Tono Permata;Laki-laki;21/02/1999;Prioritas
N-12029;Citra Maharani;Pria;22/10/2004;prio
N-12030;Rizal Setiawan;Laki-laki;13/10/1979;prio
N-12031;Lutfi Kusuma;Wanita;27/09/1969;Private
N-12032;Fajar Utami;P;19/08/1960;
N-12033;Kartika Hakim;;24/02/1966;RETAIL
N-12034;Hadi Permata;M;30/04/1988;Prioritas
N-12035;Indah Maharani;P;27/03/1989;Reguler
N-12036;Budi Hidayat;Female;05/02/1961;Prioritas
N-12037;Kartika Lestari;L;12/12/1991;prio
N-12038;Tono Santoso;;30/04/2005;Reguler
N-12039;Maya Pratama;Wanita;26/07/1973;Private
N-12040;Maya Kusuma;P;08/02/1983;RETAIL
N-12041;Vina Santoso;Laki-laki;15/03/1987;RETAIL
N-12042;Joko Kusuma;;13/05/1981;Prioritas
N-12043;Kartika Santoso;Female;03/12/1985;RETAIL
N-12044;Eka Pratama;L;06/12/1971;Private
N-12045;Putri Hakim;Pria;29/10/2002;Prioritas
N-12046;Nanda Hakim;M;28/12/1971;Private
N-12047;Rizal Hakim;;31/02/1999;RETAIL
N-12048;Budi Pratama;Laki-laki;29/09/2004;
N-12049;Wawan Permata;M;31/10/1982;Prioritas
N-12050;Putri Hidayat;Pria;07/07/1983;Private
N-12051;Maya Lestari;L;11/01/1973;RETAIL
N-12052;Tono Permata;Laki-laki;18/10/1994;RETAIL
N-12053;Sari Permata;Pria;14/12/1976;Private
N-12054;Hadi Saputra;M;13/07/1975;Private
N-12055;Maya Saputra;M;01/06/2004;Prioritas
N-12056;Budi Hidayat;Female;13/04/1977;Private
N-12057;Tono Hakim;P;14/06/1964;RETAIL
N-12058;Rizal Wijaya;P;30/05/1981;prio
N-12059;Zaki Hakim;;10/01/1962;Reguler
N-12060;Budi Santoso;Laki-laki;11/08/1965;Prioritas
N-12061;Budi Setiawan;L;01/07/1961;
N-12062;Sari Utami;Laki-laki;18/12/1990;Private
N-12063;Oki Saputra;M;14/11/1977;RETAIL
N-12064;Vina Pratama;;17/04/2001;prio
N-12065;Kartika Saputra;P;09/07/1978;Private
N-12066;Nanda Pratama;;07/02/2002;Prioritas
N-12067;Indah Permata;Wanita;08/06/1999;Prioritas
N-12068;Nanda Pratama;Wanita;07/12/1982;Reguler
N-12069;Oki Lestari;Pria;27/08/1982;
N-12070;Andi Utami;M;04/01/1968;prio
N-12071;Tono Hakim;Pria;02/11/1990;Prioritas
N-12072;Lutfi Pratama;Laki-laki;05/12/1987;RETAIL
N-12073;Putri Santoso;P;27/08/1982;Reguler
N-12074;Putri Utami;;27/10/1967;Private
N-12075;Indah Lestari;;04/04/2002;Prioritas
N-12076;Sari Lestari;Female;04/04/2000;RETAIL
N-12077;Gita Lestari;L;25/07/1964;Reguler
N-12078;Oki Wijaya;;10/06/1986;prio
N-12079;Dewi Utami;Pria;19/04/2003;prio
N-12080;Gita Santoso;L;19/09/1988;Reguler
N-12081;Nanda Lestari;;17/02/1978;prio
N-12082;Budi Maharani;Pria;17/12/1989;
N-12083;Indah Santoso;Female;08/05/1978;prio
N-12084;Gita Wijaya;Laki-laki;24/10/1971;Prioritas
N-12085;Rizal Hakim;Female;18/02/1974;Private
N-12086;Sari Setiawan;;25/06/1993;
N-12087;Vina Pratama;Pria;13/12/1984;Private
N-12088;Sari Santoso;;24/04/1972;Reguler
N-12089;Wawan Utami;;17/05/1971;
N-12090;Fajar Utami;;28/11/1967;RETAIL
N-12091;Rizal Wijaya;P;16/08/1976;prio
N-12092;Putri Wijaya;L;08/09/1992;prio
N-12093;Zaki Wijaya;Female;11/12/1975;Private
N-12094;Dewi Utami;P;31/01/1967;Private
N-12095;Oki Utami;Wanita;29/05/1969;Private
N-12096;Zaki Lestari;L;21/03/1989;Reguler
N-12097;Citra Saputra;M;08/09/1996;
N-12098;Joko Pratama;P;15/04/1991;Reguler
N-12099;Rizal Kusuma;L;26/02/2004;prio
N-12100;Joko Utami;Pria;02/10/1960;Reguler
N-12101;Oki Saputra;;15/06/1989;Private
N-12102;Gita Santoso;Female;20/06/1994;
N-12103;Rizal Lestari;;04/06/1996;RETAIL
N-12104;Indah Hidayat;P;21/09/1979;Reguler
N-12105;Oki Hakim;Laki-laki;05/11/1968;Prioritas
N-12106;Yuni Kusuma;Female;25/01/1990;
N-12107;Joko Santoso;Wanita;20/03/1973;
N-12108;Wawan Hidayat;Pria;03/09/1978;RETAIL
N-12109;Nanda Hidayat;Pria;28/05/1985;Prioritas
N-12110;Andi Hidayat;M;17/05/1995;
N-12111;Putri Pratama;Laki-laki;09/03/2000;Prioritas
N-12112;Gita Permata;Wanita;23/07/1967;Reguler
N-12113;Citra Hidayat;Pria;28/05/1968;RETAIL
N-12114;Gita Santoso;Female;28/12/1984;prio
N-12115;Andi Setiawan;Laki-laki;09/06/2004;Prioritas
N-12116;Andi Hidayat;M;22/12/1988;Prioritas
N-12117;Hadi Santoso;P;06/04/1962;
N-12118;Kartika Maharani;M;15/04/1977;Prioritas
N-12119;Sari Lestari;L;23/01/1961;prio
N-12120;Oki Lestari;L;05/09/1961;prio
N-12121;Sari Wijaya;Wanita;07/07/1970;Reguler
N-12122;Wawan Utami;L;28/04/1987;Private
N-12123;Gita Kusuma;L;22/01/1988;Prioritas
N-12124;Dewi Lestari;M;02/08/1991;Private
N-12125;Fajar Setiawan;P;03/04/1989;RETAIL
N-12126;Rizal Lestari;Wanita;08/08/1984;prio
N-12127;Andi Pratama;P;31/07/1972;
N-12128;Gita Hakim;M;20/08/2005;RETAIL
N-12129;Zaki Wijaya;Female;05/10/1994;RETAIL
N-12130;Tono Wijaya;Laki-laki;13/02/1986;RETAIL
N-12131;Andi Santoso;Wanita;15/03/1970;
