nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-17001;Hadi Saputra;Laki-laki;07/06/1986;
N-17002;Yuni Hidayat;Wanita;22/03/2000;Prioritas
N-17003;Citra Setiawan;P;08/05/1976;Reguler
N-17004;Nanda Maharani;Laki-laki;27/02/2005;Reguler
N-17005;Zaki Utami;Pria;;Reguler
N-17006;Umi Utami;Female;07/09/1987;
N-17007;Kartika Lestari;L;30/04/1962;
N-17008;Eka Hakim;L;21/06/1977;Prioritas
N-17009;Indah Pratama;Pria;10/02/1963;Prioritas
N-17010;Eka Pratama;Laki-laki;26/11/1979;RETAIL
N-17011;Citra Hidayat;Wanita;07/10/1984;RETAIL
N-17012;Andi Wijaya;Pria;17/02/2001;
N-17013;Putri Setiawan;Laki-laki;09/07/1994;
N-17014;Oki Permata;Laki-laki;;
N-17015;Yuni Hakim;Laki-laki;01/05/1968;Reguler
N-17016;Sari Wijaya;Female;;RETAIL
N-17017;Putri Wijaya;Pria;18/12/1960;Private
N-17018;Rizal Setiawan;;29/07/2004;Private
N-17019;Oki Pratama;M;;RETAIL
N-17020;Nanda Hidayat;Wanita;11/08/1997;Private
N-17021;Citra Hakim;Wanita;13/08/1969;Prioritas
N-17022;Rizal Utami;P;28/08/1964;RETAIL
N-17023;Joko Wijaya;P;01/02/1970;Reguler
N-17024;Umi Utami;Pria;31/01/2004;Reguler
N-17025;Umi Santoso;;;RETAIL
N-17026;Sari Permata;Pria;21/03/2005;Reguler
N-17027;Lutfi Utami;Pria;09/11/1998;
N-17028;Wawan Lestari;Wanita;15/11/2002;
N-17029;Citra Hakim;Wanita;01/10/1996;Private
N-17030;Wawan Kusuma;L;23/08/1962;Prioritas
N-17031;Lutfi Utami;;25/10/1969;RETAIL
N-17032;Putri Santoso;Laki-laki;31/10/1962;RETAIL
N-17033;Vina Saputra;M;31/02/1999;
N-17034;Umi Setiawan;Female;21/09/1967;Private
N-17035;Gita Setiawan;P;26/09/1972;RETAIL
N-17036;Eka Hidayat;Pria;02/07/1987;Private
N-17037;Kartika Setiawan;M;15/04/1985;
N-17038;Sari Permata;M;03/11/1973;
N-17039;Umi Hidayat;L;10/08/1991;Private
N-17040;Umi Utami;L;30/06/1961;prio
N-17041;Sari Utami;Female;29/05/1983;Reguler
N-17042;Andi Pratama;Wanita;11/05/1987;Private
N-17043;Andi Hakim;Female;17/12/1963;
N-17044;Nanda Hakim;P;31/02/1999;Private
N-17045;Wawan Hakim;P;03/08/1964;
N-17046;Zaki Pratama;M;31/02/1999;
N-17047;Vina Wijaya;;02/10/1997;Private
N-17048;Zaki Lestari;Wanita;;Private
N-17049;Indah Permata;Female;18/08/1966;
N-17050;Umi Permata;Wanita;23/04/1985;RETAIL
N-17051;Oki Santoso;Female;05/11/1987;
N-17052;Kartika Lestari;M;;Private
N-17053;Hadi Setiawan;Female;24/11/1994;
N-17054;Hadi Lestari;P;25/12/1988;Private
N-17055;Kartika Saputra;Female;19/09/1981;
N-17056;Joko Permata;M;16/10/1987;Private
N-17057;Gita Hidayat;Pria;18/01/1977;RETAIL
N-17058;Citra Lestari;Pria;12/07/1996;
N-17059;Eka Utami;P;21/08/1988;Reguler
N-17060;Joko Lestari;Laki-laki;31/02/1999;Prioritas
N-17061;Yuni Pratama;P;05/10/1970;prio
N-17062;Kartika Hakim;L;04/02/2000;Private
N-17063;Maya Pratama;Female;09/01/1999;Reguler
N-17064;Wawan Setiawan;Female;14/12/1991;Prioritas
N-17065;Wawan Hidayat;P;28/02/1975;Private
N-17066;Sari Hakim;Pria;04/12/1990;RETAIL
N-17067;Tono Saputra;M;23/08/1964;Prioritas
N-17068;Eka Santoso;M;31/02/1999;RETAIL
N-17069;Maya Setiawan;Pria;18/02/1976;
N-17070;Tono Setiawan;Wanita;28/07/1977;RETAIL
N-17071;Wawan Lestari;Laki-laki;10/10/1982;Private
N-17072;Rizal Kusuma;L;30/11/1990;
N-17073;Oki Hidayat;;06/06/1967;Reguler
N-17074;Dewi Lestari;;03/12/1997;prio
N-17075;Gita Hidayat;M;02/08/2001;Private
N-17076;Zaki Kusuma;L;05/12/1961;Prioritas
N-17077;Rizal Hidayat;Female;28/11/1992;Prioritas
N-17078;Citra Setiawan;L;31/02/1999;RETAIL
N-17079;Oki Santoso;L;29/04/1973;Private
N-17080;Dewi Maharani;L;11/03/1996;prio
N-17081;Umi Utami;L;07/03/1991;
N-17082;Dewi Utami;Pria;09/09/1979;RETAIL
N-17083;Oki Hakim;M;22/12/2005;Prioritas
N-17084;Indah Setiawan;M;22/07/1978;Prioritas
N-17085;Andi Setiawan;Laki-laki;02/07/1988;
N-17086;Rizal Permata;M;28/12/1997;Reguler
N-17087;Eka Lestari;M;31/07/1969;RETAIL
N-17088;Citra Hidayat;L;14/02/1997;Private
N-17089;Yuni Santoso;Laki-laki;17/07/1967;
N-17090;Nanda Wijaya;P;31/03/2002;Reguler
N-17091;Oki Permata;Female;03/05/1997;Prioritas
N-17092;Indah Hakim;Pria;15/07/1977;prio
N-17093;Joko Santoso;M;31/01/1961;
N-17094;Budi Pratama;M;31/02/1999;RETAIL
N-17095;Nanda Utami;Female;25/07/1995;Prioritas
N-17096;Hadi Saputra;Pria;08/03/1981;prio
N-17097;Nanda Hidayat;Wanita;10/01/1998;
N-17098;Yuni Utami;Wanita;08/06/1979;prio
N-17099;Sari Hakim;Laki-laki;16/10/1992;Prioritas
N-17100;Wawan Setiawan;Wanita;20/05/1994;Reguler
N-17101;Joko Hakim;Pria;03/02/1999;RETAIL
N-17102;Fajar Utami;Pria;14/04/1973;Private
N-17103;Nanda Saputra;Female;25/05/2000;
N-17104;Rizal Utami;L;17/07/1994;Private
N-17105;Yuni Utami;Wanita;10/07/1993;prio
N-17106;Citra Utami;;24/02/1990;Private
N-17107;Zaki Setiawan;M;;RETAIL
N-17108;Nanda Lestari;Pria;05/04/1976;Prioritas
N-17109;Andi Setiawan;Wanita;01/09/2004;Prioritas
N-17110;Citra Kusuma;P;04/11/1984;Prioritas
N-17111;Zaki Permata;M;31/02/1999;Reguler
N-17112;Gita Maharani;L;01/03/1982;Reguler
N-17113;Wawan Hakim;P;01/10/1984;RETAIL
N-17114;Eka Saputra;Laki-laki;10/01/1977;Prioritas
N-17115;Tono Lestari;Female;16/05/1984;Private
N-17116;Tono Kusuma;L;03/05/2002;prio
N-17117;Kartika Permata;Pria;22/06/1992;Prioritas
N-17118;Dewi Santoso;L;25/08/2000;Reguler
N-17119;Nanda Setiawan;L;16/03/1996;Private
N-17120;Rizal Permata;P;29/12/1989;Prioritas
N-17121;Sari Kusuma;Female;04/07/1978;Reguler
N-17122;Kartika Maharani;Pria;17/08/1972;
N-17123;Gita Kusuma;;09/05/1970;
N-17124;Lutfi Hidayat;Female;24/09/1999;Reguler
N-17125;Gita Hakim;P;14/12/1978;Prioritas
N-17126;Fajar Maharani;M;04/01/1963;Prioritas
N-17127;Joko Utami;Laki-laki;31/02/1999;Private
N-17128;Oki Wijaya;Female;11/11/2000;RETAIL
N-17129;Gita Hakim;Pria;19/09/1998;
N-17130;Budi Kusuma;Female;07/01/2000;Prioritas
N-17131;Indah Utami;L;09/05/1979;RETAIL
N-17132;Maya Pratama;Female;04/04/2005;Private
N-17133;Vina Lestari;Wanita;;Reguler
N-17134;Gita Setiawan;P;10/08/1998;RETAIL
N-17135;Tono Maharani;Wanita;26/10/1983;Reguler
N-17136;Tono Hidayat;Wanita;20/03/1976;
N-17137;Budi Kusuma;Laki-laki;02/02/2002;Prioritas
N-17138;Vina Utami;M;20/12/1997;
N-17139;Hadi Permata;Pria;13/01/1981;Private
N-17140;Sari Lestari;Laki-laki;31/02/1999;RETAIL
N-17141;Sari Hakim;Pria;25/07/2004;Private
N-17142;Dewi Utami;Pria;02/08/2004;RETAIL
N-17143;Zaki Setiawan;M;30/05/1984;RETAIL
N-17144;Sari Wijaya;Laki-laki;30/01/1960;RETAIL
N-17145;Indah Permata;Laki-laki;25/07/1963;
N-17146;Wawan Utami;L;06/03/1978;RETAIL
N-17147;Gita Kusuma;;14/11/1972;Private
N-17148;Indah Utami;Female;24/05/1986;Reguler
N-17149;Wawan Pratama;L;18/11/1997;Prioritas
N-17150;Wawan Maharani;Pria;29/07/1984;
N-17151;Indah Saputra;P;;Reguler
N-17152;Zaki Santoso;L;31/02/1999;RETAIL
N-17153;Fajar Kusuma;Laki-laki;23/02/1997;RETAIL
N-17154;Zaki Utami;Wanita;30/05/1967;RETAIL
N-17155;Kartika Pratama;Laki-laki;06/10/1991;Reguler
N-17156;Zaki Santoso;L;04/12/1976;Private
N-17157;Sari Permata;Female;27/02/1966;Private
N-17158;Tono Saputra;M;12/07/1990;prio
N-17159;Kartika Pratama;Female;20/04/2003;
N-17160;Umi Hakim;Pria;;Reguler
N-17161;Fajar Saputra;M;25/09/1970;prio
N-17162;Budi Lestari;Wanita;12/02/1972;Reguler
N-17163;Nanda Saputra;;17/12/1997;Prioritas
N-17164;Rizal Kusuma;P;06/06/1971;
N-17165;Fajar Utami;;18/07/1961;prio
N-17166;Lutfi Kusuma;Female;14/12/1992;prio
N-17167;Oki Permata;P;;Private
N-17168;Tono Setiawan;Female;08/10/1982;RETAIL
N-17169;Eka Utami;Wanita;04/08/1990;prio
N-17170;Yuni Santoso;Laki-laki;04/12/1962;RETAIL
N-17171;Rizal Lestari;Female;03/07/1964;Reguler
N-17172;Wawan Hidayat;L;04/10/1967;
N-17173;Kartika Permata;P;01/09/1982;Prioritas
N-17174;Joko Kusuma;Laki-laki;08/08/1985;prio
