nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-13001;Zaki Hidayat;Wanita;31/12/1986;Reguler
N-13002;Gita Hakim;Wanita;09/09/1978;Private
N-13003;Sari Utami;Wanita;10/06/1979;Reguler
N-13004;Andi Kusuma;Laki-laki;22/11/1979;Reguler
N-13005;Joko Permata;Female;20/03/1964;Reguler
N-13006;Umi Permata;P;27/10/1981;RETAIL
N-13007;Hadi Utami;Laki-laki;29/05/1984;RETAIL
N-13008;Dewi Lestari;L;09/05/1968;Private
N-13009;Citra Saputra;P;24/07/1985;Reguler
N-13010;Joko Hidayat;M;30/10/1968;Private
N-13011;Hadi Setiawan;P;14/10/1991;prio
N-13012;Yuni Saputra;Female;12/08/1975;Private
N-13013;Wawan Hidayat;P;13/05/1968;
N-13014;Joko Setiawan;M;31/03/1993;
N-13015;Wawan Santoso;L;07/04/1962;Reguler
N-13016;Eka Saputra;;08/07/1967;Reguler
N-13017;Maya Kusuma;Laki-laki;06/07/1976;Prioritas
N-13018;Zaki Maharani;Female;08/12/1975;Private
N-13019;Maya Maharani;;08/05/1981;prio
N-13020;Gita Setiawan;Female;03/04/1983;Reguler
N-13021;Andi Utami;Wanita;19/09/1963;Private
N-13022;Dewi Utami;Female;30/08/1999;Private
N-13023;Kartika Utami;M;09/09/1991;
N-13024;Yuni Maharani;Pria;29/02/1972;
N-13025;Eka Kusuma;Female;08/11/2001;Prioritas
N-13026;Yuni Lestari;P;01/08/1976;Reguler
N-13027;Tono Pratama;Laki-laki;03/07/1994;Private
N-13028;Yuni Maharani;M;19/05/1989;Private
N-13029;Eka Setiawan;P;09/04/2000;
N-13030;Citra Permata;Wanita;07/08/1986;
N-13031;Putri Permata;Laki-laki;29/09/1978;Private
N-13032;Joko Kusuma;;10/05/1977;RETAIL
N-13033;Vina Santoso;;28/06/1972;Private
N-13034;Kartika Utami;Laki-laki;22/01/2003;Prioritas
N-13035;Eka Saputra;M;09/04/1974;prio
N-13036;Citra Lestari;Laki-laki;08/11/1977;
N-13037;Nanda Santoso;;26/09/1960;Prioritas
N-13038;Hadi Wijaya;M;25/05/1972;Reguler
N-13039;Kartika Saputra;M;24/05/1989;
N-13040;Indah Saputra;Laki-laki;01/12/1967;Prioritas
N-13041;Lutfi Pratama;L;05/01/1960;Reguler
N-13042;Nanda Santoso;L;01/10/1984;Prioritas
N-13043;Maya Lestari;M;21/07/1976;
N-13044;Umi Permata;Female;;
N-13045;Indah Hidayat;P;02/03/1976;RETAIL
N-13046;Rizal Permata;Wanita;23/04/1961;prio
N-13047;Vina Hakim;Wanita;21/11/1961;Private
N-13048;Joko Maharani;M;09/04/1966;Reguler
N-13049;Umi Permata;P;15/10/1986;prio
N-13050;Indah Maharani;Laki-laki;30/07/1999;
N-13051;Budi Hakim;Laki-laki;22/10/1975;
N-13052;Fajar Hakim;L;17/09/1971;
N-13053;Tono Kusuma;Wanita;03/03/1969;
N-13054;Dewi Hakim;L;25/01/1980;RETAIL
N-13055;Yuni Santoso;M;12/06/1993;prio
N-13056;Putri Kusuma;Pria;29/10/2004;Reguler
N-13057;Oki Saputra;L;19/07/1964;Prioritas
N-13058;Joko Utami;Wanita;06/12/1960;Reguler
N-13059;Putri Kusuma;P;24/01/1994;prio
N-13060;Lutfi Hidayat;;04/03/1997;prio
N-13061;Tono Setiawan;M;12/05/1983;RETAIL
N-13062;Wawan Maharani;Pria;11/06/1996;Prioritas
N-13063;Hadi Utami;;20/01/1977;Reguler
N-13064;Indah Utami;M;10/02/2000;
N-13065;Hadi Hakim;P;23/04/1996;Prioritas
N-13066;Putri Utami;M;25/10/1972;Prioritas
N-13067;Indah Permata;;;Reguler
N-13068;Hadi Lestari;Female;19/06/1972;
N-13069;Joko Hakim;Wanita;12/07/1973;Private
N-13070;Lutfi Lestari;Laki-laki;28/01/2000;RETAIL
N-13071;Nanda Kusuma;;09/06/1965;Reguler
N-13072;Zaki Maharani;Wanita;14/10/1993;Reguler
N-13073;Rizal Santoso;Wanita;31/02/1999;Prioritas
N-13074;Eka Hakim;M;24/07/1991;Prioritas
N-13075;Hadi Pratama;Female;20/07/1977;prio
N-13076;Citra Lestari;Laki-laki;;Prioritas
N-13077;Maya Pratama;M;17/04/1980;Prioritas
N-13078;Vina Lestari;Laki-laki;10/11/1987;
N-13079;Budi Maharani;;23/08/1977;RETAIL
N-13080;Maya Utami;Female;21/11/1969;RETAIL
N-13081;Indah Maharani;M;30/01/1962;
N-13082;Yuni Lestari;Pria;13/12/1981;Private
N-13083;Joko Santoso;;29/10/1996;
N-13084;Citra Wijaya;P;07/12/1975;
N-13085;Rizal Wijaya;Female;02/03/1981;RETAIL
N-13086;Zaki Setiawan;;08/02/1998;RETAIL
N-13087;Putri Hakim;L;26/06/1986;Prioritas
N-13088;Yuni Pratama;Laki-laki;01/01/1979;Private
N-13089;Zaki Santoso;L;04/02/1999;RETAIL
N-13090;Hadi Kusuma;M;11/09/1966;prio
N-13091;Dewi Hakim;Pria;02/10/1990;Prioritas
N-13092;Nanda Wijaya;Female;09/03/2001;Prioritas
N-13093;Zaki Santoso;;10/03/1998;Prioritas
N-13094;Wawan Santoso;M;18/05/1973;
N-13095;Wawan Hidayat;Pria;25/04/1993;Private
N-13096;Lutfi Utami;Pria;09/01/1988;Prioritas
N-13097;Oki Saputra;Pria;29/08/2002;Private
N-13098;Rizal Hidayat;Female;27/10/2001;Prioritas
N-13099;Andi Utami;L;18/04/1972;RETAIL
N-13100;Nanda Hakim;Pria;24/08/1978;Reguler
