nasabah_code;nama_lengkap;jenis_kelamin;tanggal_lahir;segmen_nasabah
N-20001;Indah Permata;;01/08/1967;Prioritas
N-20002;Budi Kusuma;Wanita;21/05/2001;prio
N-20003;Oki Pratama;;28/11/1969;Prioritas
N-20004;Eka Utami;Pria;05/02/2000;Prioritas
N-20005;Maya Maharani;Laki-laki;24/06/1974;Reguler
N-20006;Kartika Maharani;Pria;22/08/1968;Private
N-20007;Kartika Maharani;Wanita;30/06/1979;RETAIL
N-20008;Dewi Saputra;P;05/11/1995;Prioritas
N-20009;Andi Maharani;;16/12/1966;Private
N-20010;Indah Kusuma;Female;31/02/1999;Prioritas
N-20011;Budi Hidayat;L;11/05/1975;Private
N-20012;Putri Permata;Female;11/10/1970;RETAIL
N-20013;Yuni Wijaya;Laki-laki;02/11/1989;RETAIL
N-20014;Kartika Lestari;L;;Prioritas
N-20015;Indah Pratama;L;13/12/1981;
N-20016;Oki Saputra;Wanita;11/08/2005;Private
N-20017;Joko Kusuma;Wanita;20/03/1961;RETAIL
N-20018;Eka Wijaya;Pria;;Private
N-20019;Wawan Santoso;P;20/07/1991;
N-20020;Umi Hakim;Wanita;18/02/1994;RETAIL
N-20021;Wawan Permata;Laki-laki;28/10/1978;prio
N-20022;Lutfi Pratama;;17/06/1994;
N-20023;Gita Kusuma;Laki-laki;09/01/1986;prio
N-20024;Yuni Permata;Wanita;26/02/1972;RETAIL
N-20025;Gita Utami;Pria;13/06/1961;
N-20026;Dewi Permata;Wanita;04/08/1999;prio
N-20027;Nanda Permata;Wanita;31/02/1999;RETAIL
N-20028;Eka Lestari;Pria;12/07/1998;RETAIL
N-20029;Vina Setiawan;Pria;08/12/1999;Private
N-20030;Fajar Kusuma;Wanita;17/10/1984;prio
N-20031;Andi Kusuma;Laki-laki;28/03/1979;RETAIL
N-20032;Hadi Kusuma;Female;21/06/2003;prio
N-20033;Yuni Maharani;Wanita;24/10/1995;
N-20034;Fajar Permata;L;26/09/2002;RETAIL
N-20035;Eka Kusuma;P;10/05/1964;
N-20036;Putri Kusuma;M;24/09/2000;Prioritas
N-20037;Vina Maharani;M;11/09/1995;Prioritas
N-20038;Gita Kusuma;P;02/08/1995;prio
N-20039;Hadi Pratama;;28/09/1977;RETAIL
N-20040;Tono Setiawan;Pria;14/01/1976;prio
N-20041;Zaki Kusuma;L;26/03/1974;Reguler
N-20042;Wawan Pratama;P;09/08/1996;Private
N-20043;Fajar Hakim;P;05/01/1985;
N-20044;Wawan Permata;Laki-laki;01/01/1983;Reguler
N-20045;Eka Hakim;Laki-laki;13/06/1982;Reguler
N-20046;Yuni Lestari;P;16/06/1988;
N-20047;Yuni Hidayat;Female;17/01/2000;RETAIL
N-20048;Fajar Maharani;P;01/09/1989;Prioritas
N-20049;Rizal Pratama;;28/10/2005;Prioritas
N-20050;Sari Utami;P;14/07/1983;Private
N-20051;Citra Kusuma;M;27/11/1997;
N-20052;Nanda Santoso;M;23/03/1960;RETAIL
N-20053;Yuni Kusuma;Laki-laki;03/05/1966;prio
N-20054;Yuni Wijaya;M;21/08/2005;Reguler
N-20055;Indah Hakim;Female;18/09/1970;Prioritas
N-20056;Oki Kusuma;P;06/03/1964;prio
N-20057;Citra Permata;P;11/07/1966;prio
N-20058;Indah Santoso;Wanita;08/05/1988;prio
N-20059;Andi Utami;Female;23/03/1987;prio
N-20060;Tono Maharani;M;28/11/1969;
N-20061;Kartika Permata;P;05/05/1988;Reguler
N-20062;Rizal Santoso;P;27/07/1971;prio
N-20063;Zaki Hakim;M;06/01/1973;Prioritas
N-20064;Joko Lestari;M;10/09/1960;Reguler
N-20065;Yuni Utami;Wanita;10/06/1975;Private
N-20066;Lutfi Kusuma;M;02/05/1986;RETAIL
N-20067;Fajar Hakim;L;22/07/1972;Prioritas
N-20068;Fajar Setiawan;Wanita;28/09/1987;RETAIL
N-20069;Kartika Permata;P;16/07/1990;prio
N-20070;Budi Maharani;P;02/08/1984;Private
N-20071;Sari Maharani;Wanita;12/02/1968;Private
